"","GSM416567","GSM416568","GSM416569","GSM416570","GSM416571","GSM416572","GSM416573","GSM416574","GSM416575","GSM416576","GSM416577","GSM416578","GSM416579","GSM416580","GSM416581","GSM416582","GSM416583","GSM416584","GSM416585","GSM416586","GSM416587","GSM416588","GSM416589","GSM416590","GSM416528","GSM416529","GSM416530","GSM416531","GSM416532","GSM416533","GSM416534","GSM416535","GSM416536","GSM416537","GSM416538","GSM416539","GSM416540","GSM416541","GSM416542","GSM416543","GSM416544","GSM416545","GSM416546","GSM416547","GSM416548","GSM416549","GSM416550","GSM416551","GSM416552","GSM416553","GSM416554","GSM416555","GSM416556","GSM416557","GSM416558","GSM416559","GSM416560","GSM416561","GSM416562","GSM416563","GSM416564","GSM416565","GSM416566"
"RPS4Y1",4.455124,5.6615257,5.703475,4.8199205,5.466613,5.4814262,5.563039,5.4643545,5.327523,5.266011,-0.38581753,-0.14357376,-0.07606697,-0.43777084,-0.21071959,-0.40024042,-0.48336124,0.041908264,0.15232706,-0.55633926,-0.58599377,-0.28778648,-0.36592388,-0.540174,-0.17553568,4.8947563,4.393903,0.04789734,4.7282,5.2604017,5.4543858,4.565934,-0.30582952,5.4234953,4.360632,4.9402046,4.7264385,5.116637,5.4902773,4.900817,5.2565536,-0.27522612,-0.32023573,-0.34543133,-0.22892857,-1.040163,-0.331190957111111,-0.19769669,-0.9648495,-0.02508974,-0.03887558,0.066185474,-0.1480937,5.566187,0.019081116,-0.5805073,-0.2585721,-0.047977448,-0.644907,-0.12429619,4.601288,-0.49089336,-0.33894444
"HLA-DRB5",0.27773714,-0.17742682,-0.4906416,0.14893913,4.9656734,4.0179777,4.138772,0.07362366,0.26919556,0.14515018,-0.64270115,-0.23409319,-0.238315894666667,-0.48484612,-0.037311077,-0.38356733,-0.54632854,4.033518,4.091139,-0.8916702,-0.6010666,3.7641172,-0.27759314,-0.49326324,-0.39967155,0.22679901,4.692957,0.08367634,-0.17830753,-0.18673992,5.700242,3.8482304,4.536604,0.3372574,4.822979,-0.24312687,4.8906345,0.58951473,3.6660862,0.029690742,-0.3218155,-0.2565837,-0.20953465,-0.16564465,-0.40268993,6.0515604,-0.18587303,-0.40580034,6.100933,5.355281,-0.2944069,0.03515196,-0.29399395,-0.44307804,-0.0530591,4.346346,-0.31579828,5.7483435,-0.6717901,0.08357763,3.2095242,-0.37024975,-0.48841286
"RPS4Y2",0.9632921,1.5672865,1.9190779,1.3821087,3.9636478,3.7964258,4.0424175,3.8301706,3.4169579,4.2074795,-0.3477869,-0.24119854,-0.1471219,-0.16368961,-0.1648469,-0.14813423,-0.49123287,-0.31732225,0.013708591,-0.45729828,-0.5917139,-0.44309902,-0.13893127,-0.20986748,-0.24519014,1.1940727,1.168788,0.03541851,3.209485,3.5286713,3.5183554,3.1995869,-0.17102051,3.530983,2.4705591,3.256528,3.6391296,3.548851,4.4991083,3.3892794,3.8598928,-0.3350563,-0.29507637,-0.2348094,-0.21383,-0.6486168,0.08186817,-0.18021393,-0.81059647,-0.2053752,-0.763425497,-0.0780735,-0.32548714,2.2685223,0.11696625,-0.62829876,-0.124007225,-0.025723457,-0.30615234,0.03204918,1.6368132,-0.22092628,-0.38698387
"LOC402057",0.020858288,0.072029114,-0.36651707,-0.16011143,3.3856401,2.547183,3.461873,2.7079058,3.57907,4.085929,-0.3801365,-0.3992195,-0.4341793,-0.41156864,-0.21810627,-0.29078913,-0.7524195,-0.54048634,-0.14456415,-0.7170658,-0.28916836,-0.15417862,-0.18421459,0.020900726,-0.5582447,-0.017358303,-0.19254589,0.032864094,1.9057446,2.5121946,2.2575102,2.981226,2.72305,2.8974714,1.1257915,2.0887756,3.4241028,4.1527777,4.6604204,4.476741,4.3306007,0.10410881,0.032323837,-0.46100712,-0.19698572,-1.004879,-0.3201003,-0.52296114,-0.54752636,-0.3524146,-0.66123724,0.22050953,0.48834896,0.36432838,-0.29266644,-0.13750172,-0.001404762,-0.027831078,0.28815937,0.22831535,0.291668986,0.1800785,-0.034362793
"RPL23AP13",0.13827753,0.09152508,-0.036789894,0.20259285,3.2776833,2.8206348,3.5101767,2.3495636,2.610755,3.5620499,-0.32492828,-0.1435585,-0.17415428,-0.087418556,-0.2867055,-0.31048155,-0.74302197,-0.39368725,-0.16839886,-0.7146511,0.24906158,0.13084221,0.5142002,0.5408592,-0.21189022,-0.019671917,-0.053613663,-0.068786144,2.3466759,2.496787,2.4414215,2.2162075,2.0115595,2.3327332,1.5049934,1.3909149,3.7458763,3.6866446,3.6983643,3.907158,3.321374,-0.2706623,-0.27718782,-0.44511127,-0.057966232,-1.1496038,-0.24157667,-0.6950512,-0.67339325,-0.5143676,-0.7596626,0.11935711,-0.11097908,0.081934609,-0.20998478,0.043302536,-0.080174446,-0.08949375,-0.1696806,0.29249382,-0.16769218,0.07868576,0.14920712
"AMY1A",-0.6930771,-0.1723814,0.15414524,-0.12684727,3.117527,3.1216574,2.989502,1.3316269,2.5607738,2.9268026,-0.4115429,-0.5197315,-0.22955513,-0.19825554,-0.62073326,-0.8073139,-0.34232426,-0.9517946,-1.1606884,-0.42925453,-0.14454937,0.1311531,-0.13292503,0.8136692,0.5048084,-0.6214094,-0.32200813,-0.19305801,3.1032162,3.0714788,2.7102861,2.7996988,1.6013393,1.8975983,2.4805822,2.6631594,3.747548,3.331089,3.632142,2.6908884,3.7563658,-0.8577585,-0.8794136,-0.9718466,-0.97707844,-0.764205,-0.8743124,-0.86488724,-0.72220516,-1.0295172,-0.76109314,-0.091091156,-0.56033707,-0.12980366,0.098609924,0.6442175,0.3726902,0.42459106,0.5554886,0.3397846201,0.13582325,0.71619606,0.38503838
"FTHL2",-0.07387924,-0.3153553,-0.4634199,-0.009609222,2.2571993,2.4197025,2.6859617,1.0071821,1.4058657,3.1552591,-0.9832783,-0.24993038,-0.22806454,-0.57317734,-0.4694748,-0.40818596,-1.0392513,-0.8835969,-0.5364728,-1.3729477,-0.543355,-0.15447521,-0.048318863,-0.07791042,-0.27883244,0.06101799,0.050614357,-0.15706825,2.7197962,2.461896,2.4239454,3.27069,1.1337595,2.05233,1.9393215,2.3837957,3.6109314,3.820837,3.0543356,3.346425,3.2749786,-0.35614872,-0.33332348,-0.41346455,-0.056378365,-1.476821,-0.025434494,-0.7478142,-1.4754763,-0.47581577,-0.41363811,0.13303757,-0.0657561296,0.17364025,0.2950487,-0.066423416,0.5452452,0.27311707,0.29097462,0.62247276,0.77317905,0.168334,0.6300335
"TMSB4X",0.057289124,-0.24073648,-0.47840786,0.012321472,2.821885,2.7215414,3.2618093,1.3461075,1.5277338,3.262432,-0.38135242,-0.2846775,-0.024094582,-0.045074463,-0.21245527,-0.49700928,-0.55514336,-0.3632555,-0.5270276,-1.0312595,-0.35682392,-0.08099651,-0.093894005,-0.24308205,-0.27188778,0.06675482,0.08884716,-0.1058712,2.1328554,2.64507,1.9310331,2.1891823,0.5893898,1.4432411,1.2301922,1.4176674,3.4971495,3.880124,3.5775642,3.4062862,4.1205034,0.02995491,0.099458694,-0.09808159,0.06798744,-1.057929,-0.4108758,-0.70575,-0.9988222,-0.57372856,-0.65223217,-0.027228355,-0.36241817,-0.014432907,0.2570858,-0.17887878,-0.06797886,0.065644264,-0.0299856662,0.32874966,0.3248768,-0.15919018,0.24571514
"EVI2B",-0.25728416,-0.6790199,-0.6916051,0.012469292,2.3827047,2.4478588,2.7101707,1.2263088,1.9354486,2.802288,-1.0231442,-0.40997934,-0.37094402,-0.551846,-0.6565299,-0.707366,-1.0438447,-0.52793646,-0.3600359,-1.0946255,-0.45363998,-0.20159149,-0.08662701,-0.1468668,-0.42301846,-0.018494606,0.18763971,0.08801174,2.7687473,2.8245344,2.3503332,3.5392227,1.3463821,1.8305149,1.7571411,2.5352879,3.179471,3.740182,3.6454325,2.8871984,4.1077213,-0.1876421,-0.38144588,-0.5492573,-0.5364008,-1.4087524,-0.47298765,-0.748178,-1.3992996,-0.5747657,-0.67702675,-0.071416855,0.024819374,0.049196243,-0.006165505,0.37134647,0.37341118,0.1564995768,0.07838726,0.5479164,0.8872318,0.033286095,0.13819408
"RAP1B",-0.020398617,-0.33225727,-0.30410957,0.0292691236,2.5561314,2.7267427,2.7137222,2.1180334,2.1217737,2.823494,-0.7246976,-0.3156886,-0.35888243,-0.48207235,-0.31654978,-0.5474453,-0.95811796,-0.6261463,-0.23330069,-1.0015273,0.0516119,-0.09896088,0.01753807,-0.0527153,-0.34534073,-0.05925703,0.048046112,-0.13660526,2.0022964,2.716958,2.5944128,2.98942,1.5916128,1.5821905,1.1807318,2.2032967,2.9442348,2.8871584,3.3653364,2.767006,3.6419783,-0.3727455,-0.4164486,-0.6007638,-0.17697525,-1.2209616,-0.34345627,-0.67446184,-1.3094754,-0.38324928,-0.88840246,0.23264694,0.13466549,0.07865906,-0.2376914,-0.14748001,0.34044838,0.056617737,0.038067818,0.24574852,0.39787865,-0.04507351,0.3851595
