"","GSM1406033","GSM1406034","GSM1406035","GSM1406036","GSM1406037","GSM1406038","GSM1406039","GSM1406040","GSM1406041","GSM1406042","GSM1406043","GSM1406044","GSM1406045","GSM1406046","GSM1406047","GSM1406048","GSM1406049","GSM1406050","GSM1406051","GSM1406052","GSM1406053","GSM1406054","GSM1406055","GSM1406056","GSM1406057","GSM1406058","GSM1406059","GSM1406060","GSM1406061","GSM1406062","GSM1406063","GSM1406064","GSM1406065","GSM1406066","GSM1406067","GSM1406068","GSM1406069","GSM1406070","GSM1406071","GSM1406072","GSM1406073","GSM1406074","GSM1406075","GSM1406076","GSM1406077","GSM1406078","GSM1406079","GSM1406080","GSM1406081","GSM1406082","GSM1406083","GSM1406084","GSM1406085","GSM1406086","GSM1406087","GSM1406088","GSM1406089","GSM1406090","GSM1406091","GSM1406092","GSM1406093","GSM1406094","GSM1406095","GSM1406096","GSM1406097","GSM1406098","GSM1406099","GSM1406100","GSM1406101","GSM1406102","GSM1406103","GSM1406104","GSM1406105","GSM1406106","GSM1406107","GSM1406108","GSM1406109","GSM1406110","GSM1406111","GSM1406112","GSM1406113","GSM1406114","GSM1406115","GSM1406116","GSM1406117","GSM1406118","GSM1406119","GSM1406120","GSM1406121","GSM1406122","GSM1406123","GSM1406124"
"HBB",6.8661,6.4657,6.499,6.5578,6.2769,6.0206,6.2578,6.0852,5.9545,6.4242,6.221,6.3265,6.433,6.0712,6.2775,5.6313,6.1143,6.3826,6.6063,6.0697,6.1233,6.3521,5.8566,6.51152,6.40661,6.46154,6.23764,6.62194,6.24851,6.48438,6.875,6.26631,6.79434,6.47844,6.13719,6.28806,6.17636,6.26571,5.71613,6.00942,5.79026,6.12577,6.06696,6.62858,5.46055,6.35625,6.9419,6.804,5.8883,6.1962,6.1921,6.4954,6.0471,5.9067,6.4414,6.0341,6.8568,5.6065,6.5014,5.6582,6.4876,6.3315,6.364,6.9113,6.2925,6.3689,5.9188,7.0222,6.2211,6.24915,6.16742,6.5614,6.61827,6.62584,6.06191,6.09962,6.85806,6.20974,5.96625,6.06475,6.07643,6.54803,6.17531,6.84026,6.21694,7.18822,7.07225,6.64489,5.80581,6.60253,6.74464,6.70619
"HBA1",7.1752,6.7258,6.8047,6.4945,6.3541,6.0973,6.2706,6.3977,6.1982,6.723,6.1487,6.5909,6.4818,6.0912,6.3054,5.646,6.1072,6.5808,6.6903,6.0496,6.0924,6.3184,5.8057,6.52409,6.27947,6.40922,6.11801,6.55266,5.95743,6.38017,6.77047,6.18598,6.64797,6.33805,5.80326,6.17248,6.04102,6.08767,5.55615,5.86916,5.76223,5.99394,5.92071,6.81635,5.43796,6.29147,6.8905,6.7508,5.8062,6.0891,5.9856,6.4441,5.8599,6.1167,6.0707,5.9337,6.7787,5.4885,6.3794,5.5746,6.2091,6.1398,6.3504,6.8261,6.0873,6.1268,5.8657,6.9835,6.0474,6.13041,5.86064,6.45623,6.51032,6.49309,6.01125,5.95426,6.13049,6.03651,5.81397,5.98911,5.87168,6.07707,5.87939,6.697,5.97384,6.93072,7.01171,6.22853,5.67107,6.49081,6.67999,6.56962
"FTL",7.0248,6.6737,6.7622,6.4991,6.3734,6.0533,6.2635,6.3605,6.1475,6.6218,6.0881,6.5585,6.4394,6.0198,6.3368,5.7106,6.1728,6.5324,6.4966,6.1342,6.1344,6.338,5.7742,6.38889,6.23473,6.28417,6.09582,6.45323,6.05709,6.26904,6.71774,6.12303,6.92312,6.34129,5.84434,6.3972,6.04474,6.01928,5.55615,5.94293,5.72049,5.97867,5.90025,6.69015,5.40291,6.31011,6.798,6.6644,5.7851,6.2061,6.0754,6.4492,5.8144,6.0793,6.0732,5.8074,6.6171,5.5892,6.3249,5.572,6.2218,6.2003,6.3218,6.7326,6.1376,6.2552,5.7935,6.7745,6.0261,6.09137,5.95503,6.1999,6.30267,6.55769,6.10351,5.94539,6.67896,5.88658,5.91204,5.95233,5.90581,6.50573,6.07123,6.70377,6.06581,6.88445,6.91444,6.71705,5.76197,6.42328,6.56001,6.37069
"RPL32",7.0026,6.622,6.6362,6.3923,6.4868,5.868,5.9847,6.3158,6.1667,6.5291,5.9205,6.4232,6.2776,6.013,6.0182,5.569,5.9748,6.4028,6.3369,6.0424,6.042,6.0591,5.6629,6.15627,6.23554,6.25364,6.03318,6.32621,5.94247,6.3111,6.42479,5.94843,6.96553,6.12846,5.70163,6.36556,5.87106,6.22368,5.57639,5.87132,5.68291,5.80347,5.72012,6.59397,5.38141,6.36156,6.551,6.4025,5.6789,6.0871,5.9754,6.2102,5.6587,6.2182,6.2538,5.8152,6.51,5.4268,6.169,5.5282,5.9753,5.9114,5.8626,6.4573,5.862,6.1936,5.6074,6.6947,5.9447,6.09001,5.77953,6.34837,6.28412,6.29937,5.93701,5.92678,6.38521,6.14211,5.86019,5.94777,5.77099,6.4929,5.73018,6.67603,5.83081,6.37036,6.69744,6.39045,5.66596,6.30864,6.55551,6.54467
"FTH1",7.0413,6.6022,6.6006,6.3182,6.1939,5.9275,6.039,6.1321,6.0042,6.6291,5.9053,6.5671,6.2712,5.7594,6.1106,5.5918,5.9283,6.3645,6.3803,5.8586,5.975,6.1674,5.5627,6.2775,6.02796,6.1889,5.98369,6.3489,5.95409,6.18435,6.53526,5.99316,6.93803,6.0561,5.81228,6.42333,5.9256,5.9526,5.36149,5.81188,5.63076,5.82912,5.79854,6.77626,5.25981,6.18683,6.6296,6.513,5.775,6.1441,5.8643,6.3509,5.7048,6.2437,6.0881,5.7016,6.5315,5.5106,6.1644,5.5126,6.2119,6.0355,6.1857,6.5402,5.9674,6.1093,5.7213,6.5823,5.7755,5.88958,5.85319,6.12286,6.08936,6.37712,6.03629,5.64929,6.76796,5.79007,5.77842,5.83278,5.78663,6.66945,6.00754,6.54729,5.86854,6.846,6.5896,6.80661,5.59615,6.21266,6.35314,6.21489
"ACTB",6.7143,6.2908,6.358,6.2504,5.9853,5.7874,5.9522,5.9916,5.8239,6.3683,5.9414,6.2922,6.0628,5.803,6.083,5.5203,5.8363,6.2304,6.2673,5.9048,5.9602,6.0564,5.5879,6.17473,6.05953,6.1475,5.93423,6.276,6.03001,6.13823,6.60443,5.93873,6.4929,6.184,5.91542,6.1249,5.97012,5.96485,5.52263,5.76891,5.51981,5.84251,5.81933,6.48743,5.24203,6.03031,6.5567,6.5481,5.6626,5.989,5.9193,6.2828,5.8496,5.8229,6.1953,5.7028,6.4889,5.3729,6.2187,5.4213,6.2615,6.0948,6.1053,6.6239,5.9981,6.093,5.6527,6.5872,5.9715,5.94557,5.97488,6.26917,6.23054,6.3509,5.89947,5.83302,6.805,5.92065,5.68842,5.82155,5.81428,6.44542,6.05349,6.59677,6.04534,6.94829,6.65409,6.42635,5.60308,6.24866,6.40281,6.37591
"RPL37A",6.8415,6.4874,6.6115,6.3109,6.4827,5.8628,5.857,6.2354,6.0914,6.4241,5.8457,6.2098,6.142,5.9174,6.0187,5.5344,5.9626,6.2359,6.2866,5.9768,6.034,5.9582,5.6341,6.12982,6.00676,6.08468,5.92897,6.26389,5.78621,6.23417,6.29517,5.94818,6.87405,5.96739,5.62038,6.27249,5.70502,6.12573,5.54269,5.85208,5.54653,5.74228,5.63193,6.45566,5.32163,6.20095,6.4429,6.2104,5.553,6.0047,5.905,6.0998,5.5434,6.1339,6.0685,5.7417,6.3962,5.3367,6.1033,5.3972,5.9496,5.7509,5.8382,6.2211,5.8399,6.1154,5.6111,6.493,5.7874,5.99016,5.73134,6.3169,6.05747,6.14503,5.82593,5.84105,6.31296,6.01994,5.73324,5.86113,5.70796,6.40901,5.69336,6.485,5.73181,6.15322,6.49695,6.33218,5.56279,6.26316,6.40016,6.29835
"TMSB4X",6.8637,6.5884,6.3814,6.1119,6.1863,5.8643,5.9526,6.3704,6.1362,6.6623,5.8116,6.5752,6.1014,5.9841,5.8861,5.5036,5.9388,6.354,6.0028,5.8761,5.8132,6.0591,5.6185,5.98404,5.92066,5.8536,5.86776,6.09943,5.92236,5.98307,6.50177,5.90973,6.69036,6.05283,5.67568,6.16301,5.85936,5.95132,5.54881,5.77745,5.58734,5.71942,5.77476,6.71141,5.21586,6.07053,6.3022,6.4525,5.6432,5.9908,5.8638,6.12,5.6468,6.1115,6.0748,5.6433,6.2788,5.3814,6.0619,5.4507,6.0113,5.9649,6.0029,6.3369,5.8903,6.0339,5.6236,6.4415,5.8887,5.92063,5.84169,6.08077,6.00339,6.18978,5.88111,5.77855,6.58066,5.85143,5.64783,5.72765,5.67984,6.39554,5.82324,6.43581,5.85978,6.48445,6.47677,6.40314,5.48402,6.12099,6.24681,6.17573
"RPL23A",6.8865,6.432,6.5302,6.25,6.3729,5.8655,5.9412,6.19,6.0273,6.4941,5.8021,6.211,6.1284,5.9298,5.9734,5.602,5.943,6.2487,6.1509,5.9637,5.9773,5.9506,5.6454,6.13383,5.98004,6.08105,5.90505,6.15261,5.80073,6.13549,6.35948,5.88456,6.84729,6.0066,5.646,6.36464,5.70672,6.03928,5.50885,5.82449,5.56723,5.75142,5.62764,6.35606,5.32084,6.16524,6.4566,6.2987,5.596,5.9602,5.8927,6.0362,5.5319,6.0584,6.101,5.7213,6.3162,5.4125,6.0989,5.4051,6.0318,5.8323,5.8922,6.2638,5.8922,6.0597,5.5608,6.4146,5.7968,5.91495,5.72597,6.24513,6.0925,6.1946,5.7948,5.74702,6.31379,5.93398,5.68201,5.81568,5.72222,6.35783,5.72183,6.51356,5.75608,6.32238,6.43853,6.3645,5.52522,6.14868,6.30721,6.34124
"COX2",6.8659,6.3836,6.5126,6.206,6.1194,5.8758,6.0148,6.1589,5.9361,6.3774,5.8841,6.2017,6.2046,5.8457,6.0357,5.5449,5.9456,6.2884,6.1179,5.9626,5.8359,5.9628,5.6942,6.13551,5.91494,6.01695,5.79732,6.18828,5.8629,6.06143,6.42749,5.90326,6.29373,6.12988,5.68828,6.24209,5.86171,5.86903,5.49374,5.65574,5.56272,5.82058,5.75493,6.33486,5.3022,6.08747,6.4515,6.4217,5.5802,5.9985,5.8943,6.2099,5.6183,5.7389,5.9232,5.6654,6.37,5.3563,6.0846,5.3058,6.08,5.876,5.9738,6.3038,5.8864,6.1393,5.6129,6.1931,5.855,5.80347,5.79861,6.00313,6.00353,6.171,5.81578,5.69525,6.44874,5.66319,5.653,5.80683,5.70387,6.26087,5.79722,6.35185,5.87581,6.5565,6.44787,6.47857,5.55175,6.11007,6.08198,6.09588
