"","sample","group"
"1","GSM1406033","Control"
"2","GSM1406034","Control"
"3","GSM1406035","Control"
"4","GSM1406036","Control"
"5","GSM1406037","Control"
"6","GSM1406038","Control"
"7","GSM1406039","Control"
"8","GSM1406040","Control"
"9","GSM1406041","Control"
"10","GSM1406042","Control"
"11","GSM1406043","Control"
"12","GSM1406044","Control"
"13","GSM1406045","Control"
"14","GSM1406046","Control"
"15","GSM1406047","Control"
"16","GSM1406048","Control"
"17","GSM1406049","Control"
"18","GSM1406050","Control"
"19","GSM1406051","Control"
"20","GSM1406052","Control"
"21","GSM1406053","Control"
"22","GSM1406054","Control"
"23","GSM1406055","Control"
"24","GSM1406056","Disease"
"25","GSM1406057","Disease"
"26","GSM1406058","Disease"
"27","GSM1406059","Disease"
"28","GSM1406060","Disease"
"29","GSM1406061","Disease"
"30","GSM1406062","Disease"
"31","GSM1406063","Disease"
"32","GSM1406064","Disease"
"33","GSM1406065","Disease"
"34","GSM1406066","Disease"
"35","GSM1406067","Disease"
"36","GSM1406068","Disease"
"37","GSM1406069","Disease"
"38","GSM1406070","Disease"
"39","GSM1406071","Disease"
"40","GSM1406072","Disease"
"41","GSM1406073","Disease"
"42","GSM1406074","Disease"
"43","GSM1406075","Disease"
"44","GSM1406076","Disease"
"45","GSM1406077","Disease"
"46","GSM1406078","Disease"
"47","GSM1406079","Disease"
"48","GSM1406080","Disease"
"49","GSM1406081","Disease"
"50","GSM1406082","Disease"
"51","GSM1406083","Disease"
"52","GSM1406084","Disease"
"53","GSM1406085","Disease"
"54","GSM1406086","Disease"
"55","GSM1406087","Disease"
"56","GSM1406088","Disease"
"57","GSM1406089","Disease"
"58","GSM1406090","Disease"
"59","GSM1406091","Disease"
"60","GSM1406092","Disease"
"61","GSM1406093","Disease"
"62","GSM1406094","Disease"
"63","GSM1406095","Disease"
"64","GSM1406096","Disease"
"65","GSM1406097","Disease"
"66","GSM1406098","Disease"
"67","GSM1406099","Disease"
"68","GSM1406100","Disease"
"69","GSM1406101","Disease"
"70","GSM1406102","Disease"
"71","GSM1406103","Disease"
"72","GSM1406104","Disease"
"73","GSM1406105","Disease"
"74","GSM1406106","Disease"
"75","GSM1406107","Disease"
"76","GSM1406108","Disease"
"77","GSM1406109","Disease"
"78","GSM1406110","Disease"
"79","GSM1406111","Disease"
"80","GSM1406112","Disease"
"81","GSM1406113","Disease"
"82","GSM1406114","Disease"
"83","GSM1406115","Disease"
"84","GSM1406116","Disease"
"85","GSM1406117","Disease"
"86","GSM1406118","Disease"
"87","GSM1406119","Disease"
"88","GSM1406120","Disease"
"89","GSM1406121","Disease"
"90","GSM1406122","Disease"
"91","GSM1406123","Disease"
"92","GSM1406124","Disease"
