"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"LAMP2",0.991229203512821,-0.042106608968254,10.7687682412845,2.39418894491703e-16,4.44744538407788e-12,26.528562288062,"UP"
"ANTXR2",0.823462077648718,0.0196459568777778,10.0007003835916,5.38599777225622e-15,5.00251473087157e-11,23.5793096526827,"UP"
"CTSS",0.865983684179487,-0.00314091550793651,9.51712220972576,3.92691263352264e-14,2.43154430267722e-10,21.6916430543782,"UP"
"RGS2",0.981664429659544,-0.0609412928007055,9.30065276146516,9.60899447813951e-14,4.00432554882311e-10,20.8400994024764,"UP"
"PLXDC2",0.76581084317557,0.0340039842151676,9.27292817606476,1.07782233764618e-13,4.00432554882311e-10,20.7307747887902,"UP"
"SVIL",0.904235504269231,0.17759801447619,8.73194697670257,1.02160110675998e-12,3.1628770265289e-09,18.5873447433509,"UP"
"MTPN",0.619805228470513,-0.0584058529587302,8.63444462614551,1.53437262382259e-12,4.07178655144691e-09,18.1992817420346,"UP"
"STK3",0.658834581130449,0.0328918903825397,8.59369164770053,1.81889406014418e-12,4.22347200765478e-09,18.0369567898041,"UP"
"DOCK8",0.856824931060898,-0.0231483234444444,8.55953877739927,2.09766967376654e-12,4.32959020665414e-09,17.9008674404315,"UP"
"ACOX1",0.820622299751923,0.0957317037904762,8.39699482090023,4.13688295737162e-12,7.08277817911574e-09,17.2525763225683,"UP"
"MARCKS",0.920769205932052,0.0382461223746032,8.39370576531865,4.19415159185364e-12,7.08277817911574e-09,17.239449014556,"UP"
"NUMB",0.731127548150641,0.0276133054444444,8.32574824963379,5.57229704417852e-12,8.03271718213171e-09,16.968145338455,"UP"
"C5AR1",0.956138483496474,0.0931683905507937,8.32364505521213,5.62151826914902e-12,8.03271718213171e-09,16.9597467957022,"UP"
"HMGCR",0.676760058597116,-0.0221140936047619,8.17292440160299,1.05592799379395e-11,1.40106560090832e-08,16.3576136985024,"UP"
"NPEPPS",0.50447403944359,0.0199016358222222,8.04427762680391,1.80880758274032e-11,2.24002731046561e-08,15.8433484766159,"UP"
"TNFSF13B",0.831664453869658,-0.0885556070687831,7.88017316573996,3.59406442177926e-11,4.13574287255332e-08,15.1871451585729,"UP"
"FGL2",0.747573291761539,-0.0427194303380952,7.86780888724366,3.78486373995513e-11,4.13574287255332e-08,15.1377027501183,"UP"
"MGC13170",-0.500962895916311,0.00723897468606702,-7.84539206909128,4.15697302112233e-11,4.28999615779824e-08,15.0480634034994,"DOWN"
"PDK4",1.00737014182692,0.132915900714286,7.79525551916687,5.12691577690025e-11,4.78652473964488e-08,14.847589195422,"UP"
"BAZ2B",0.897727164384616,0.0617925316666667,7.79402130154797,5.15345040874772e-11,4.78652473964488e-08,14.8426543187992,"UP"
"TNFSF10",0.884189869380769,0.0376283938428571,7.64887845392444,9.45504426650628e-11,8.36366201402956e-08,14.2624421076702,"UP"
"DFFB",-0.523588306019872,0.0392157927555556,-7.60411269672804,1.14002136979353e-10,9.62592589331117e-08,14.0835598017554,"DOWN"
"TLE4",0.633179646142628,-0.0133787445634921,7.56636998922361,1.33474125939643e-10,1.05029864428967e-07,13.9327758782047,"UP"
"RAB27A",0.592442897401923,0.0159355061,7.56241527970639,1.35697499262231e-10,1.05029864428967e-07,13.9169786359887,"UP"
"SUSD3",-0.65024666294359,0.0236323281777778,-7.45241935778209,2.1480265078102e-10,1.59606961636329e-07,13.4777733073684,"DOWN"
"ID3",-0.851608690875,-0.0610590542380952,-7.42610350911272,2.39735620342005e-10,1.67071341673571e-07,13.3727536428563,"DOWN"
"KIAA1600",0.695220694478633,-0.017184361037037,7.42302363355027,2.42836252432516e-10,1.67071341673571e-07,13.360464286091,"UP"
"CORO1C",0.785301989247436,0.0109300887603175,7.38750132510437,2.81624265782219e-10,1.81019918546094e-07,13.2187484943158,"UP"
