"","x"
"1","ACAA1"
"2","ACAA2"
"3","ACADL"
"4","ACADM"
"5","ACADS"
"6","ACADVL"
"7","ACAT2"
"8","ACO2"
"9","ACOT2"
"10","ACSL1"
"11","ACSL4"
"12","ACSL5"
"13","ACSM3"
"14","ACSS1"
"15","ALDH3A2"
"16","ALDH9A1"
"17","APEX1"
"18","AUH"
"19","BCKDHB"
"20","BPHL"
"21","CBR3"
"22","CIDEA"
"23","CPOX"
"24","CPT1A"
"25","CPT2"
"26","CRAT"
"27","CRYZ"
"28","CYP1A1"
"29","D2HGDH"
"30","DECR1"
"31","DLD"
"32","DLST"
"33","ECH1"
"34","ECHS1"
"35","ECI1"
"36","ECI2"
"37","EHHADH"
"38","ETFDH"
"39","FABP1"
"40","FASN"
"41","FH"
"42","G0S2"
"43","GABARAPL1"
"44","GCDH"
"45","GLUL"
"46","GPD2"
"47","GRHPR"
"48","GSTZ1"
"49","HADH"
"50","HADHB"
"51","HAO2"
"52","HCCS"
"53","HIBCH"
"54","HMGCL"
"55","HMGCS2"
"56","HSD17B10"
"57","HSD17B4"
"58","HSDL2"
"59","HSP90AA1"
"60","IDH1"
"61","IDH3B"
"62","IDH3G"
"63","IDI1"
"64","MAOA"
"65","MCEE"
"66","MDH1"
"67","MDH2"
"68","ME1"
"69","MLYCD"
"70","NTHL1"
"71","PDHA1"
"72","PDHB"
"73","PPARA"
"74","PRDX6"
"75","PTS"
"76","RAP1GDS1"
"77","SDHA"
"78","SDHC"
"79","SDHD"
"80","SLC22A5"
"81","SUCLA2"
"82","SUCLG1"
"83","SUCLG2"
"84","UROS"
"85","YWHAH"
"86","ABCD1"
"87","ABHD4"
"88","ABHD5"
"89","ACACA"
"90","ACACB"
"91","ACAD10"
"92","ACAD11"
"93","ACAT1"
"94","ACBD6"
"95","ACBD7"
"96","ACLY"
"97","ACOT1"
"98","ACOT11"
"99","ACOT12"
"100","ACOT13"
"101","ACOT7"
"102","ACOT9"
"103","ACP6"
"104","ACSBG2"
"105","ACSF2"
"106","ACSF3"
"107","ACSL3"
"108","ACSL6"
"109","ACSM6"
"110","ACSS3"
"111","AGK"
"112","AGPAT4"
"113","AGPAT5"
"114","AGPS"
"115","AKR1B15"
"116","ALAS1"
"117","ALB"
"118","ALOX12"
"119","AMACR"
"120","ARSB"
"121","ASAH2"
"122","BDH1"
"123","CARM1"
"124","CBR4"
"125","CDS2"
"126","CERT1"
"127","CHD9"
"128","CHKB"
"129","CHPT1"
"130","CPNE3"
"131","CPT1B"
"132","CREBBP"
"133","CRLS1"
"134","CROT"
"135","CSNK2A2"
"136","CYP11A1"
"137","CYP11B1"
"138","CYP11B2"
"139","CYP1B1"
"140","CYP24A1"
"141","CYP27A1"
"142","CYP27B1"
"143","CYP2D6"
"144","CYP2E1"
"145","CYP2U1"
"146","DBI"
"147","DDHD1"
"148","DDHD2"
"149","DEGS1"
"150","DGAT2"
"151","DHRS7B"
"152","EP300"
"153","EPHX2"
"154","ESRRA"
"155","ETNPPL"
"156","FADS1"
"157","FDPS"
"158","FDX1"
"159","FDX2"
"160","FDXR"
"161","GK"
"162","GK2"
"163","GNPAT"
"164","GPAM"
"165","GPAT2"
"166","GPS2"
"167","GPX1"
"168","GPX4"
"169","HADHA"
"170","HDAC3"
"171","HELZ2"
"172","HSD17B12"
"173","HSD17B8"
"174","HSD3B1"
"175","HSD3B2"
"176","HTD2"
"177","LPIN1"
"178","MCAT"
"179","MECR"
"180","MED1"
"181","MID1IP1"
"182","MIGA1"
"183","MIGA2"
"184","MMAA"
"185","MMUT"
"186","MTM1"
"187","NCOA1"
"188","NCOA2"
"189","NCOA6"
"190","NCOR1"
"191","NDUFAB1"
"192","NEU4"
"193","NR1D1"
"194","NRF1"
"195","NUDT19"
"196","OSBPL1A"
"197","OXCT1"
"198","OXCT2"
"199","PCCA"
"200","PCCB"
"201","PCTP"
"202","PECR"
"203","PEMT"
"204","PGS1"
"205","PHYH"
"206","PI4K2A"
"207","PI4KB"
"208","PISD"
"209","PLA2G2A"
"210","PLA2G4A"
"211","PLA2G4B"
"212","PLA2G4C"
"213","PLA2G4F"
"214","PLA2G6"
"215","PLD6"
"216","PNPLA4"
"217","PNPLA8"
"218","PPARGC1A"
"219","PPARGC1B"
"220","PPP1CC"
"221","PRKAA2"
"222","PRKAB2"
"223","PRKACA"
"224","PRKAG2"
"225","PTEN"
"226","PTGES2"
"227","PTPMT1"
"228","RXRA"
"229","SCP2"
"230","SLC25A1"
"231","SLC25A20"
"232","SLC27A1"
"233","SLC27A3"
"234","SLC44A1"
"235","SLC44A2"
"236","SMARCD3"
"237","SP1"
"238","SPHK2"
"239","SPTLC2"
"240","SREBF1"
"241","SREBF2"
"242","STAR"
"243","STARD3"
"244","STARD7"
"245","TBL1X"
"246","TBL1XR1"
"247","TGS1"
"248","THEM4"
"249","THEM5"
"250","THRSP"
"251","TSPO"
"252","TSPOAP1"
"253","TXNRD1"
