"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006631","BP","GO:0006631","fatty acid metabolic process","6/11","394/18614",3.65750779993009e-08,2.24205228135715e-05,1.19350254524035e-05,"ABHD5/CYP1B1/DEGS1/ACSL4/ACSL1/DGAT2",6
"GO:0035336","BP","GO:0035336","long-chain fatty-acyl-CoA metabolic process","3/11","25/18614",3.50616572911986e-07,0.000107463979597524,5.72058618961661e-05,"ACSL4/ACSL1/DGAT2",3
"GO:0006066","BP","GO:0006066","alcohol metabolic process","5/11","366/18614",1.19879188525243e-06,0.000183759665170486,9.78200329747587e-05,"PTEN/CYP1B1/OSBPL1A/DGAT2/CYP27A1",5
"GO:0016125","BP","GO:0016125","sterol metabolic process","4/11","155/18614",1.45847291694525e-06,0.000183759665170486,9.78200329747587e-05,"CYP1B1/OSBPL1A/DGAT2/CYP27A1",4
"GO:0035337","BP","GO:0035337","fatty-acyl-CoA metabolic process","3/11","40/18614",1.49885534396808e-06,0.000183759665170486,9.78200329747587e-05,"ACSL4/ACSL1/DGAT2",3
"GO:0005811","CC","GO:0005811","lipid droplet","3/11","103/19518",2.28368048104246e-05,0.000710087681971002,0.000405764389697715,"ABHD5/ACSL4/DGAT2",3
"GO:0005777","CC","GO:0005777","peroxisome","3/11","143/19518",6.08646584546573e-05,0.000710087681971002,0.000405764389697715,"HSDL2/ACSL4/ACSL1",3
"GO:0042579","CC","GO:0042579","microbody","3/11","143/19518",6.08646584546573e-05,0.000710087681971002,0.000405764389697715,"HSDL2/ACSL4/ACSL1",3
"GO:0045017","BP","GO:0045017","glycerolipid biosynthetic process","4/11","250/18614",9.73425250691609e-06,0.000960267322479456,0.000511175186689502,"ABHD5/PTEN/ACSL1/DGAT2",4
"GO:1901568","BP","GO:1901568","fatty acid derivative metabolic process","3/11","77/18614",1.09655322305974e-05,0.000960267322479456,0.000511175186689502,"ACSL4/ACSL1/DGAT2",3
"GO:0047676","MF","GO:0047676","arachidonate-CoA ligase activity","2/11","11/18369",1.78784939331602e-05,0.00105669986910004,0.000358811500543307,"ACSL4/ACSL1",2
"GO:0004467","MF","GO:0004467","long-chain fatty acid-CoA ligase activity","2/11","15/18369",3.40870925516142e-05,0.00105669986910004,0.000358811500543307,"ACSL4/ACSL1",2
"GO:0015645","MF","GO:0015645","fatty acid ligase activity","2/11","22/18369",7.4820287737757e-05,0.00116381779709573,0.000395184311407718,"ACSL4/ACSL1",2
"GO:0008395","MF","GO:0008395","steroid hydroxylase activity","2/11","24/18369",8.93372718370228e-05,0.00116381779709573,0.000395184311407718,"CYP1B1/CYP27A1",2
