stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000228027	9606.ENSP00000339787	DGAT2	ACSL4	9606	0.636	0	0	0	0.066	0.068	0	0.615
9606.ENSP00000228027	9606.ENSP00000495778	DGAT2	ABHD5	9606	0.661	0	0	0	0.089	0	0	0.643
9606.ENSP00000228027	9606.ENSP00000422607	DGAT2	ACSL1	9606	0.748	0	0	0	0.33	0.058	0	0.633
9606.ENSP00000258415	9606.ENSP00000478561	CYP27A1	CYP1B1	9606	0.4	0	0	0.246	0.087	0.091	0	0.154
9606.ENSP00000339787	9606.ENSP00000495778	ACSL4	ABHD5	9606	0.423	0	0	0	0.042	0.071	0.151	0.326
9606.ENSP00000339787	9606.ENSP00000381785	ACSL4	HSDL2	9606	0.524	0.057	0	0	0.195	0.048	0.302	0.201
9606.ENSP00000339787	9606.ENSP00000422607	ACSL4	ACSL1	9606	0.77	0	0	0.143	0.082	0.066	0.6	0.34
9606.ENSP00000361021	9606.ENSP00000495556	PTEN	TBL1X	9606	0.407	0	0	0	0.104	0.095	0	0.326
9606.ENSP00000381785	9606.ENSP00000495778	HSDL2	ABHD5	9606	0.434	0.075	0	0	0.264	0.084	0.116	0.131
9606.ENSP00000381785	9606.ENSP00000422607	HSDL2	ACSL1	9606	0.628	0.057	0	0	0.266	0.048	0.302	0.317
9606.ENSP00000422607	9606.ENSP00000495556	ACSL1	TBL1X	9606	0.464	0	0	0	0.055	0.046	0.4	0.126
9606.ENSP00000422607	9606.ENSP00000495778	ACSL1	ABHD5	9606	0.56	0	0	0	0.248	0.071	0.151	0.345
