method	method_label	Train	Validation	avg_auc	selection_priority	meets_auc_threshold
RF+Lasso	RF + Lasso	0.977564102564103	0.957151858853182	0.967357980708642	1	TRUE
RF+Enet[alpha=0.7]	RF + Enet [alpha=0.7]	0.977564102564103	0.957151858853182	0.967357980708642	1	TRUE
RF+Enet[alpha=0.9]	RF + Enet [alpha=0.9]	0.977564102564103	0.957151858853182	0.967357980708642	1	TRUE
RF+Enet[alpha=0.8]	RF + Enet [alpha=0.8]	0.977564102564103	0.957151858853182	0.967357980708642	1	TRUE
RF+glmBoost	RF + glmBoost	0.976495726495726	0.954001260239446	0.965248493367586	1	TRUE
Lasso+RF	Lasso + RF	1	0.877126654064272	0.938563327032136	1	TRUE
glmBoost+RF	glmBoost + RF	1	0.773787019533712	0.886893509766856	1	TRUE
RF+Stepglm[both]	RF + Stepglm [both]	0.976495726495726	0.652173913043478	0.814334819769602	0	FALSE
RF+Stepglm[backward]	RF + Stepglm [backward]	0.976495726495726	0.652173913043478	0.814334819769602	0	FALSE
Stepglm[both]+RF	Stepglm [both] + RF	0.99465811965812	0.5	0.74732905982906	0	FALSE
Stepglm[backward]+RF	Stepglm [backward] + RF	0.99465811965812	0.5	0.74732905982906	0	FALSE
Lasso+Stepglm[both]	Lasso + Stepglm [both]	0.981837606837607	0.5	0.740918803418803	0	FALSE
Lasso+Stepglm[backward]	Lasso + Stepglm [backward]	0.981837606837607	0.5	0.740918803418803	0	FALSE
glmBoost+Stepglm[both]	glmBoost + Stepglm [both]	0.981837606837607	0.5	0.740918803418803	0	FALSE
glmBoost+Stepglm[backward]	glmBoost + Stepglm [backward]	0.981837606837607	0.5	0.740918803418803	0	FALSE
