"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","Fc Gamma R Mediated Phagocytosis",87,0.5502434954698,1.88741889004861,4.80305449115668e-06,0.000354835262432934,0.000265335542802884,3200,"tags=44%, list=17%, signal=36%","VASP/ARPC5/CDC42/FCGR2A/GAB2/PIK3CG/PIK3CA/FCGR3A/MARCKS/HCK/MAPK1/INPP5D/RAF1/VAV3/FCGR2C/ARF6/PIK3R1/PAK1/PIK3CB/WAS/FCGR1A/PLCG2/LIMK2/PLA2G4A/CFL1/GSN/PLD1/PRKCD/WASF2/CRK/LYN/SYK/PLCG1/MAPK3/ARPC2/PIK3CD/PLD2/RAC1"
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES","Complement And Coagulation Cascades",67,0.598768384707214,1.9622720183095,5.24503450949603e-06,0.000354835262432934,0.000265335542802884,3961,"tags=34%, list=21%, signal=27%","CD55/C5AR1/F12/SERPINA1/F5/FGA/CR1/C3AR1/CD46/F13A1/PROS1/PLAUR/PLAU/BDKRB2/C8G/CD59/SERPING1/CFD/THBD/C4BPA/VWF/TFPI/C1QB"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","Chemokine Signaling Pathway",174,0.45012651233793,1.70316647051298,5.81697151529399e-06,0.000354835262432934,0.000265335542802884,3339,"tags=33%, list=18%, signal=28%","PREX1/PXN/CDC42/GNAI3/RHOA/PIK3CG/PIK3CA/CXCL1/GNB4/HCK/MAPK1/RAF1/PPBP/RAP1B/ROCK1/FGR/PTK2B/VAV3/JAK2/IKBKB/CXCL6/ARRB2/PIK3R1/CHUK/STAT3/CXCL14/PAK1/GNB1/STAT5B/PIK3CB/KRAS/GNG2/CXCL5/WAS/TIAM2/GNG5/GRK5/RAP1A/CXCL16/GNB2/GNG10/CCR3/JAK3/PRKCD/PRKCZ/CRK/ADCY4/LYN/GNAI2/CCR1/GSK3B/STAT1/MAPK3/BRAF/PIK3CD/RAC1/ADCY2/CCR5"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","Regulation Of Actin Cytoskeleton",193,0.427615023529221,1.62980881860211,1.97862071948032e-05,0.000905218979162245,0.000676896561927477,3543,"tags=32%, list=19%, signal=26%","IQGAP1/PXN/ARPC5/CDC42/RHOA/PIK3CG/GNA13/PIK3CA/PPP1R12A/MAPK1/ITGAM/RAF1/ROCK1/VAV3/TMSB4X/IQGAP2/PIK3R1/ITGA5/PAK1/MYH9/SSH2/PIK3CB/KRAS/WAS/TIAM2/DIAPH1/PDGFC/LIMK2/ACTN2/ITGAX/ACTN1/CFL1/FGD3/ITGB3/MSN/ITGA6/GSN/WASF2/ACTB/CRK/ITGB5/ITGA2B/ITGA3/ITGAE/MAPK3/MYL9/BRAF/ARPC2/SSH1/DIAPH2/PIK3CD/ARAF/SLC9A1/RAC1/BDKRB2/PPP1CB/TMSB4Y/PAK2/CD14/PIK3R3/DIAPH3/GNG12"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","Leukocyte Transendothelial Migration",107,0.508016319387975,1.78877542672077,3.01154046664145e-05,0.00110222381079077,0.000824211075080819,3267,"tags=36%, list=18%, signal=29%","VASP/PXN/NCF2/CDC42/GNAI3/RHOA/PIK3CG/PIK3CA/CLDN14/ITGAM/RAP1B/ROCK1/NCF4/PTK2B/VAV3/CTNNB1/PIK3R1/MMP9/MAPK14/PECAM1/PIK3CB/PLCG2/PTPN11/ACTN2/RAP1A/ACTN1/MSN/SIPA1/CYBB/ACTB/GNAI2/PLCG1/F11R/MYL9/CTNNA1/PIK3CD/RAC1/ICAM1"
"KEGG_RENAL_CELL_CARCINOMA","Renal Cell Carcinoma",65,0.556020947750237,1.82403599672423,6.27878708686444e-05,0.00191503006149365,0.00143200407244277,3297,"tags=45%, list=18%, signal=37%","CDC42/HIF1A/PIK3CG/TGFA/PIK3CA/MAPK1/RAF1/RAP1B/EGLN1/ARNT/PIK3R1/PAK1/VHL/PIK3CB/RBX1/KRAS/PTPN11/GAB1/RAP1A/CRK/CREBBP/FH/ETS1/MAPK3/BRAF/PIK3CD/ARAF/RAC1/PAK2"
"KEGG_PURINE_METABOLISM","Purine Metabolism",142,-0.465019288491982,-1.65798168867943,0.000105692990034192,0.0027631167394653,0.00206617875254811,3825,"tags=40%, list=21%, signal=32%","POLR3D/POLR3B/NME4/PDE7B/POLA1/POLE/POLR2J2/POLD1/NPR2/ADCY9/POLE4/PFAS/NT5E/FHIT/AK1/NUDT2/PDE6D/HPRT1/POLR2G/POLR3C/POLR2F/POLR3K/PDE6B/NT5C/PDE9A/DGUOK/ADCY3/POLD4/PRIM1/NME6/RRM1/POLA2/POLR3A/POLR1E/PPAT/POLR2H/PDE4D/POLE3/POLR2D/POLR2L/NME1/ADSL/PAICS/GART/PRPS1/POLR2I/PDE7A/ATIC/ENTPD6/ITPA/POLR1C/IMPDH2/POLR3H/NUDT9/NME3/ADA/APRT"
"KEGG_FOCAL_ADHESION","Focal Adhesion",186,0.408559708571545,1.55296059583013,0.000181978288626364,0.00416275335232807,0.00311278651597727,3297,"tags=26%, list=18%, signal=21%","VASP/PXN/CDC42/RHOA/PIK3CG/PIK3CA/PPP1R12A/BIRC2/THBS3/MAPK1/RAF1/RAP1B/ROCK1/PTEN/VAV3/CTNNB1/TLN1/PIK3R1/ITGA5/BIRC3/PAK1/PIK3CB/DIAPH1/PDGFC/ACTN2/THBS1/RAP1A/ACTN1/ITGB3/ZYX/ITGA6/FLNA/ACTB/CRK/PDPK1/ITGB5/ITGA2B/ITGA3/GSK3B/IGF1R/MAPK3/MYL9/BRAF/PIK3CD/PARVG/RAC1/PPP1CB/PAK2"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","Epithelial Cell Signaling In Helicobacter Pylori Infection",62,0.521929404847626,1.68735996635743,0.000360932901484749,0.00733896899685657,0.0054878686775459,3584,"tags=44%, list=19%, signal=35%","CDC42/ADAM17/CXCL1/MAP2K4/ATP6V1A/ADAM10/IKBKB/CHUK/MAPK14/PAK1/ATP6V1B2/ATP6V0B/PLCG2/ATP6V0E1/ATP6V1C1/PTPN11/ATP6V1G1/ATP6V0A1/TCIRG1/LYN/ATP6V0C/PLCG1/F11R/RAC1/ATP6AP1/ATP6V0D1/ATP6V0D2"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","Neurotrophin Signaling Pathway",115,0.450641199358177,1.60915344817337,0.000547921596912897,0.010026965223506,0.00749787448407123,3309,"tags=37%, list=18%, signal=30%","CDC42/RHOA/PIK3CG/PIK3CA/CALM2/MAPKAPK2/MAPK1/RAF1/RAP1B/RPS6KA5/YWHAG/RPS6KA3/IRS2/IKBKB/PIK3R1/KIDINS220/ATF4/MAPK14/CAMK2G/RPS6KA1/PIK3CB/KRAS/IRAK3/PLCG2/MAP2K7/PTPN11/GAB1/RAP1A/YWHAB/ZNF274/PRKCD/SORT1/CRK/PDPK1/GSK3B/PLCG1/MAPK3/BRAF/PIK3CD/RAC1/NGFR/TRAF6"
