"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_RIBOSOME","Ribosome",82,-0.642815280283233,-4.77562108648829,1e-10,6.1e-09,3.05263157894737e-09,3146,"tags=66%, list=17%, signal=55%","RPS3A/RPL23/UBA52/RPL37A/RPL6/RPS6/RPL27/RPS28/RPL21/RPL18A/FAU/RPL35A/RPL39/RPL7/RPL14/RPL7A/MRPL13/RPS17/RPL26/RPL18/RPS24/RPL5/RPS21/RPL36AL/RPL24/RPL27A/RPS9/RPL9/RPS29/RPL12/RPS3/RPL19/RPL35/RPLP1/RPS26/RPS19/RPS23/RPL10A/RPL30/RPS20/RPL32/RPS15/RPL17/RPL4/RPS13/RPS5/RPL23A/RPS4X/RPL22/RPL36/RPL13A/RPS2/RPLP0/RPL13"
"KEGG_SPLICEOSOME","Spliceosome",90,-0.490558435234347,-3.73848390146354,1e-10,6.1e-09,3.05263157894737e-09,3070,"tags=53%, list=17%, signal=45%","SF3B4/DDX42/DDX23/DHX16/LSM3/SF3B3/TCERG1/SNRPB2/PQBP1/PRPF38B/CTNNBL1/ACIN1/NCBP1/SF3A2/SF3B5/WBP11/SF3A3/DDX5/PHF5A/XAB2/USP39/SNRPD3/PRPF3/PRPF38A/CCDC12/RBM17/DHX15/RBMX/SNRPG/THOC3/SNRPB/MAGOH/PRPF19/PLRG1/LSM2/LSM4/PRPF31/LSM7/SNRPA/SNRPC/PPIE/SNRPF/PPIL1/THOC1/NCBP2/HSPA8/SNRPA1/PPIH"
"KEGG_OLFACTORY_TRANSDUCTION","Olfactory Transduction",369,0.387653514855628,2.70272699612512,1e-10,6.1e-09,3.05263157894737e-09,11017,"tags=96%, list=59%, signal=40%","OR2A5/CAMK2G/ARRB2/OR5M3/OR2T1/OR8K5/OR4C16/OR4A15/OR2A14/CLCA1/OR6C3/CALM2/OR10G4/OR2L3/OR2H2/OR6F1/OR7A17/OR1E2/CALML6/OR52K2/CNGA4/OR10G3/OR4C15/OR5M8/PRKACB/OR6B3/OR4D11/OR9A4/OR56B1/PRKACA/OR10J1/OR52D1/OR1F1/OR12D3/OR5AP2/OR2B2/CALML3/OR2V2/OR1D4/OR5AS1/OR7G2/OR3A3/OR5M10/OR5C1/OR10A7/CNGA3/OR2L13/OR2D2/OR52L1/OR2G6/OR7E24/OR4D1/OR51E2/OR8K1/OR52W1/OR2B6/OR5T1/OR13C2/CAMK2A/OR9Q2/OR5D16/OR52B4/OR7C2/OR4C45/OR10J3/OR6C6/OR52A5/OR51B6/OR4D6/OR52E6/OR11H4/OR56B4/OR1Q1/CALML5/OR6V1/OR2C1/OR4K13/OR8H3/OR6C2/OR52K1/OR6C4/OR4S1/OR52M1/OR4F6/CLCA2/OR51D1/OR5P3/OR4K17/OR9Q1/OR2L8/OR10A4/OR2J3/OR51A2/GUCY2D/OR2M4/OR5A2/OR9A2/OR2A25/OR56A4/OR1D2/PRKACG/OR52E4/OR4C46/OR8H1/OR4A16/OR7C1/OR4F5/OR1I1/OR1J2/OR1N2/OR6S1/CAMK2B/OR3A1/OR6T1/OR6X1/OR2T12/OR6M1/OR5AN1/OR52E8/OR4C3/OR8B12/OR1G1/OR11G2/OR5P2/OR1M1/OR1L1/OR7D4/OR2T5/OR4K5/OR10V1/OR5AC2/OR2T4/OR13C9/OR8D1/OR8G5/OR4C13/OR6N1/OR13F1/OR5K1/OR2T6/OR6C1/OR1J4/OR4F4/OR2A2/OR10G7/OR2G2/OR2T33/OR51L1/OR2T11/OR4D10/OR7G1/OR10G2/OR1A1/OR13C3/GNAL/OR51I2/OR10A6/OR1L3/OR2M2/OR10S1/OR51B5/CLCA4/OR7A5/OR56A1/OR5B21/GUCA1A/OR5J2/OR2J2/OR2G3/OR10A5/OR51B2/OR10R2/OR13J1/OR51A7/OR5D14/OR5B3/OR10H4/PDC/OR9K2/OR52N1/OR5T2/OR8J1/OR8S1/OR7A10/OR4B1/OR11H1/OR2D3/OR5L1/OR6K2/OR51E1/OR4C12/OR4M1/OR4K14/OR10A3/OR5K2/OR5AU1/OR4N4/OR10K1/OR5V1/OR5B12/OR2AK2/OR51T1/OR2K2/OR52I1/OR6K6/OR11A1/OR52H1/OR2M7/PRKG2/OR1A2/OR5A1/OR5H2/OR4F15/OR5M9/OR1B1/OR9G4/PRKG1/OR13A1/OR51F2/OR10T2/OR8J3/OR4A5/OR2C3/OR5AK2/OR1C1/OR10H3/OR2T10/OR8I2/OR52B2/OR10P1/OR10H5/OR10G9/OR51I1/PDE1C/OR8D2/OR52N2/OR10X1/OR6Y1/OR2M5/OR52N4/OR8G1/OR13D1/OR13G1/OR11L1/OR1E1/OR4D5/OR8B8/OR4D2/OR6C65/OR52B6/OR52A1/OR6K3/OR1S2/OR2A1/OR5I1/GUCA1C/OR13C4/OR2A7/OR3A2/OR51A4/OR12D2/OR4S2/OR2AE1/OR5L2/OR8H2/OR51B4/OR10Q1/OR8B4/OR56A3/OR4N2/OR5M11/OR4N5/OR2F2/OR9I1/OR6C70/OR51G1/OR5F1/OR2S2/OR51F1/OR10A2/OR10C1/OR2W3/OR4K2/OR10H1/OR9G1/OR2Y1/OR7G3/OR4M2/OR51M1/OR1L8/OR5B17/OR4X1/OR2AG2/OR51G2/OR6C74/OR5AR1/OR4C11/OR1L6/OR4K15/OR4C6/OR4D9/OR10AD1/OR10H2/OR5D18/OR6C76/OR1N1/OR52I2/OR6C68/OR8U8/OR4P4/OR2A12/OR6B2/OR4E2/OR1L4/OR52N5/OR5D13/OR13H1/OR6N2/OR8U1/OR2Z1/OR2M3/OR51Q1/OR4Q3/OR4X2/OR10G8/OR6A2/OR4K1/OR51S1/OR52J3/OR8K3/OR10Z1/OR1K1/OR52E2/OR52R1/OR2T3/OR2B3/OR10K2/OR6C75/OR6B1/OR10AG1/OR5H6/OR10J5/OR13C5/OR6Q1/OR2F1/OR2T8/OR13C8/OR2A42/OR5T3/OR8D4/OR11H6/OR4F3/OR2AT4/OR7D2"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","Neuroactive Ligand Receptor Interaction",245,0.325046162617479,2.1689009035761,2.72776163154551e-09,1.24795094643207e-07,6.24513847222261e-08,10574,"tags=82%, list=57%, signal=36%","LTB4R/C5AR1/P2RX1/C3AR1/PTAFR/FPR1/ADRA1D/EDNRB/ADORA3/OPRL1/HTR6/CHRNA10/HRH2/GRIN3A/DRD1/CALCRL/OXTR/F2RL3/AVPR2/GABRE/TRPV1/GRIN2C/PTGFR/P2RX2/CHRNB3/CYSLTR2/PRLHR/SCTR/BDKRB2/PRL/ADRA2B/CNR1/NPBWR2/F2RL1/CTSG/CHRNB2/GRIN3B/TAAR2/GPR156/THRB/NTSR1/NPY5R/GRIK5/GRM4/NPFFR2/BDKRB1/SSTR1/CHRNA2/ADRB3/PARD3/LEPR/GABRG3/GABRD/TAAR1/HRH1/AGTR2/AVPR1B/GABRR1/GLRA1/GABRB2/GPR83/CHRNA3/PRSS3/MTNR1B/P2RX3/P2RY1/EDNRA/NPBWR1/TBXA2R/F2RL2/GALR1/GRIN2B/GALR2/FSHB/GRM5/GRM2/GH2/MC4R/PTGER3/OPRK1/GABRG2/CRHR1/ADRA1A/LHCGR/GHR/GRIK1/GRIA1/ADORA1/TRHR/PRLR/CHRNA9/TACR1/HTR1F/GALR3/LTB4R2/NTSR2/NMUR2/GLP1R/GLRA3/TAAR9/GRIA4/GRM7/GRM1/HTR1A/CHRNA4/GABRR2/GABRA1/GRPR/CHRND/CGA/PRSS1/DRD3/HRH4/ADRB1/GABRA2/GABRQ/GLP2R/PLG/GLRA2/AVPR1A/ADRA1B/TAAR8/GRIK2/PTGIR/CHRM2/PRSS2/HTR1D/NPY2R/GHRHR/GABRB3/HTR1E/GABRA3/GABRG1/GABRA6/SSTR4/GRID2/TSHB/GPR35/TSHR/CHRNA1/CHRNA7/MLNR/MC3R/CCKBR/GLRB/AGTR1/SSTR3/P2RY4/GABRB1/CHRM1/GRIN2A/HCRTR2/PTGER1/NMBR/HTR2B/TACR3/HTR2C/GABRA5/HCRTR1/BRS3/MTNR1A/HTR5A/GRM6/OPRD1/HTR4/CHRM5/GH1/GRIA2/MAS1/HTR1B/ADCYAP1R1/GNRHR/GRIK3/CHRNA6/GRID1/MC2R/GRM8/GCGR/SSTR5/MCHR2/DRD2/TAAR5/HRH3/GHSR/VIPR2/TACR2/GRM3/NPFFR1/CALCR/GRIK4/DRD5/OPRM1/GPR50/LHB/GRIN2D/CCKAR/CHRM4/GRIN1/GABRA4/ADRA2C/CHRNE/FSHR"
"KEGG_DNA_REPLICATION","Dna Replication",31,-0.592455386980052,-3.43041772019389,1.06935271024971e-08,3.91383091951395e-07,1.95860391140474e-07,2371,"tags=61%, list=13%, signal=54%","MCM5/RNASEH2A/RPA1/RFC1/POLE4/PCNA/MCM6/RFC5/FEN1/POLE3/RPA3/SSBP1/RPA2/RFC4/RNASEH1/LIG1/MCM7/MCM3/PRIM1"
"KEGG_LYSOSOME","Lysosome",116,0.39781506898326,2.35090982780479,1.51774137286343e-08,4.62911118723347e-07,2.31655262173892e-07,3655,"tags=38%, list=20%, signal=31%","LAPTM5/ARSA/IGF2R/SORT1/GAA/GNS/SLC11A1/LAMP2/PSAP/ATP6V0B/ATP6AP1/CTSD/ATP6V0D1/ARSG/CTSS/CTSZ/AP3S2/ATP6V0A1/GBA/ASAH1/CLTCL1/GM2A/MANBA/MCOLN1/TCIRG1/AP1G1/GLA/CD63/AP4S1/GGA3/CTSE/CTSL/ATP6V0D2/GGA1/AP1M2/CTSG/ATP6V0C/TPP1/GLB1/PPT1/SLC17A5/IDS/ARSB/NAGA"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","Regulation Of Actin Cytoskeleton",193,0.328433995223613,2.1174654570051,6.9652718084267e-08,1.82092105848869e-06,9.11246086215223e-07,3794,"tags=38%, list=20%, signal=30%","ACTN1/SSH2/GSN/PAK1/MAPK1/SSH1/WAS/ARPC2/MYH9/VAV3/SLC9A1/ACTB/TIAM2/ITGA5/ITGB5/ITGA2B/ITGB3/CD14/ITGAM/LIMK2/DIAPH1/MYL9/PAK2/BRAF/IQGAP2/WASF2/IQGAP1/MSN/PIK3CB/PDGFC/RAC1/FGD3/GNG12/PIK3CD/SOS2/ITGB2/ITGA1/PIP5K1B/VCL/DIAPH3/MYLK/ITGAD/EGF/PIK3R3/ROCK1/MAPK3/ARPC3/ARHGEF12/APC/RAF1/BDKRB2/FGF18/APC2/RHOA/PIP5K1A/IQGAP3/ITGAX/FGF13/PFN3/DOCK1/BDKRB1/FGFR2/BAIAP2/MYLPF/MOS/ACTN3/CRK/MYH10/MYL7/PIK3CG/PAK3/FGF5/FGF11"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","Fc Gamma R Mediated Phagocytosis",87,0.422712749613418,2.37512588803141,1.21948781829783e-07,2.78957838435628e-06,1.39599263410409e-06,2477,"tags=38%, list=13%, signal=33%","PLD1/GSN/PAK1/MAPK1/LYN/GAB2/SYK/WAS/PRKCD/ARPC2/VAV3/MARCKS/LIMK2/PLCG2/AMPH/VASP/WASF2/SPHK1/PIK3CB/DNM3/RAC1/HCK/PIK3CD/PIP5K1B/PIK3R3/WASF3/MAPK3/PLA2G4A/ARPC3/FCGR1A/RAF1/FCGR2A/PIP5K1A"
"KEGG_PARKINSONS_DISEASE","Parkinsons Disease",87,-0.349341658400899,-2.66067457903634,1.39293945802511e-07,2.83231023131772e-06,1.41737699237642e-06,1881,"tags=41%, list=10%, signal=37%","NDUFA4/COX6A1/UBE2L3/NDUFB10/SDHD/COX8A/PARK7/VDAC1/NDUFA3/NDUFV2/UBE2G1/COX5A/NDUFB5/NDUFAB1/VDAC3/NDUFA7/NDUFA8/UQCRH/CYCS/UQCRFS1/COX7C/NDUFS3/NDUFS5/NDUFB8/NDUFB7/NDUFA9/SDHA/NDUFC1/NDUFB2/CYC1/SLC25A5/NDUFV1/NDUFS4/NDUFS8/UBE2G2/SLC25A4"
"KEGG_PURINE_METABOLISM","Purine Metabolism",142,-0.26415183420455,-2.28679407963658,3.56788723028793e-07,6.11836269495129e-06,3.06182084820686e-06,2312,"tags=30%, list=12%, signal=26%","POLE4/ADCY7/PFAS/PDE6D/POLR2F/DGUOK/NT5E/GART/PPAT/PDE4D/POLR2G/POLR2D/ADSL/ADCY3/POLR2L/POLR3GL/FHIT/POLR3K/POLR2I/NUDT9/POLR3H/NT5C/AK1/ADA/IMPDH2/POLE3/NME3/ATIC/POLR3A/ITPA/POLR1C/POLR1E/ENTPD6/PAICS/RRM1/APRT/HPRT1/PDE7A/PRIM1/NME1/POLR2H/PRPS1"
