"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","Fc Gamma R Mediated Phagocytosis",87,0.623890846153821,2.38546838881666,1e-10,9.15e-09,5.15789473684211e-09,3121,"tags=55%, list=17%, signal=46%","MAPK1/MARCKS/VAV3/PAK1/GAB2/RAF1/WAS/PRKCD/CRK/LIMK2/PLCG2/SYK/VAV1/ARPC1A/ARPC3/LYN/ARPC2/FCGR1A/HCK/VASP/GSN/PIK3CD/FCGR2A/PIK3CB/PLD1/MAPK3/INPP5D/PIK3R5/MAP2K1/ARPC5/NCF1/AMPH/PIK3R3/CRKL/DOCK2/ARPC1B/DNM3/FCGR2B/AKT1/DNM2/WASF2/PIP5K1A/WASL/CDC42/WASF3/PIK3CG/SPHK1/RAC1"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","Chemokine Signaling Pathway",174,0.517409482736906,2.16492788002531,1e-10,9.15e-09,5.15789473684211e-09,3395,"tags=44%, list=18%, signal=36%","CHUK/MAPK1/GNG10/VAV3/PAK1/JAK2/RAF1/PREX1/STAT3/WAS/CXCL16/PRKCD/STAT5B/GSK3B/CRK/ARRB2/GNAI3/VAV1/FGR/ADCY4/TIAM2/LYN/IKBKG/HCK/PIK3CD/PRKCZ/GNB1/ROCK1/GNB2/CCR1/GNG5/PIK3CB/STAT1/SOS2/STAT2/GNG11/ELMO1/MAPK3/PIK3R5/MAP2K1/JAK3/NCF1/PLCB2/GRB2/CXCL14/SHC1/GNAI2/PIK3R3/CRKL/BRAF/DOCK2/CXCL1/GNG2/ADCY2/CXCL6/KRAS/CCR3/PTK2B/CCL2/AKT1/GNB4/PF4V1/RHOA/PXN/RAP1A/WASL/CXCR4/PRKACA/CDC42/PIK3CG/RAC1/CCL8/CXCL5/GSK3A/CXCL10/PPBP"
"KEGG_LYSOSOME","Lysosome",116,0.548858494153195,2.21275381485308,2.06673747359627e-09,1.19439021635073e-07,6.73282951983732e-08,3601,"tags=49%, list=19%, signal=40%","IDS/LAMP2/IGF2R/ATP6V0B/TCIRG1/CTSS/LAPTM5/ASAH1/ARSG/AP3S1/GBA/SORT1/MANBA/ARSA/ATP6AP1/GAA/ATP6V0D1/GNS/SLC11A1/ATP6V0A1/AP1G1/GLA/CTSZ/HEXB/NEU1/GLB1/CTSD/PPT1/GGA3/GALC/CD63/PSAP/AP1S2/GM2A/AP3S2/LAMP1/MCOLN1/ATP6V1H/SCARB2/LAMP3/TPP1/AP3B1/FUCA1/AP4S1/NPC2/ATP6V0A2/GGA1/MFSD8/CLTB/ENTPD4/SUMF1/CTSL/CLTCL1/AP3M1/ARSB/ATP6V0C/GUSB"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","Toll Like Receptor Signaling Pathway",96,0.581014024383939,2.2634366177983,2.61068899748794e-09,1.19439021635073e-07,6.73282951983732e-08,3384,"tags=45%, list=18%, signal=37%","TLR4/CHUK/MAPK1/TLR6/TLR8/LY96/FOS/MAPK14/TLR2/MAP2K4/IL1B/IFNAR1/TBK1/MYD88/TICAM2/IRAK4/IKBKG/MAP3K8/TLR5/PIK3CD/CASP8/TRAF6/PIK3CB/STAT1/IRF7/CD14/MAPK3/PIK3R5/MAP2K1/RIPK1/FADD/TOLLIP/PIK3R3/AKT1/JUN/MAPK13/TLR7/IFNAR2/SPP1/PIK3CG/RAC1/CXCL10/TLR9"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","Regulation Of Actin Cytoskeleton",193,0.476129917508743,2.01402156038176,8.74184742069601e-09,3.19951615597474e-07,1.80358115205939e-07,3121,"tags=35%, list=17%, signal=30%","MAPK1/VAV3/PAK1/RAF1/SSH2/WAS/ITGAM/CRK/LIMK2/VAV1/ACTN1/ARPC1A/ARPC3/TIAM2/ITGAX/ARPC2/SLC9A1/MYH9/IQGAP2/ITGA5/GSN/PIK3CD/ACTB/SSH3/ROCK1/FGD3/PIK3CB/SOS2/CD14/IQGAP1/MAPK3/PIK3R5/PAK2/DIAPH1/MAP2K1/ARPC5/PDGFC/MSN/ITGB3/ITGB2/SSH1/CYFIP1/PIK3R3/ITGAD/CRKL/BRAF/ITGA2B/DIAPH3/ITGAV/ARPC1B/KRAS/VCL/MYL9/RHOA/PXN/ITGB5/WASF2/PIP5K1A/WASL/FGF18/CDC42/PIK3CG/ARHGEF12/ITGA3/IQGAP3/MYLK/APC/RAC1"
"KEGG_DNA_REPLICATION","Dna Replication",31,-0.707238163615172,-2.60278336918415,2.67146859319455e-08,8.14797920924337e-07,4.59305126549238e-07,3464,"tags=74%, list=19%, signal=60%","MCM4/POLA2/MCM5/POLD1/RFC5/RFC3/RPA3/POLE/RFC4/RPA2/MCM6/RPA1/POLE3/RFC1/PCNA/FEN1/RNASEH2A/MCM7/SSBP1/PRIM1/RNASEH1/MCM3/LIG1"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","Neurotrophin Signaling Pathway",115,0.520721939969625,2.09335567300272,6.31089538346561e-08,1.64984836453458e-06,9.30026688089669e-07,3121,"tags=44%, list=17%, signal=37%","MAPK1/IRAK3/IRS2/RAF1/MAPK14/RPS6KA1/PRKCD/KIDINS220/GSK3B/CRK/PLCG2/CAMK2G/IRAK4/RPS6KA5/SORT1/PTPN11/CALM2/RIPK2/YWHAH/PIK3CD/TRAF6/PIK3CB/SOS2/PDPK1/MAPK3/PIK3R5/MAP2K1/ARHGDIB/GRB2/MAPKAPK2/SHC1/PIK3R3/CRKL/BRAF/GAB1/KRAS/AKT1/RHOA/MAP3K3/RPS6KA3/JUN/PSEN1/RAP1A/YWHAB/MAPK13/CDC42/NTRK1/PIK3CG/BAX/NGFR/RAC1"
"KEGG_RIBOSOME","Ribosome",82,-0.513448432844873,-2.31350561102668,1.07588071897622e-07,2.46107714465811e-06,1.38731987446934e-06,3636,"tags=54%, list=20%, signal=43%","RPL27A/RPL12/RPS4Y1/RPL6/RPL29/RPL17/RPL23/RPS9/RPL30/RPL5/RPL35/RPL18A/RPSA/RPL28/RPS26/RPL7/RPL3/RPS3/RPL10A/RPL19/RPS20/RPL14/RPL7A/RPL4/RPS13/RPL18/RPL13A/RPLP0/RPS5/RPL37A/RPS28/RPL22/UBA52/RPL32/RPLP1/RPL36/RPS15/RPL36AL/RPS19/RPS4X/RPL13/RPS23/RPL23A/RPS2"
"KEGG_PATHWAYS_IN_CANCER","Pathways In Cancer",311,0.40119621412089,1.76464012140624,1.90854712557682e-07,3.88071248867287e-06,2.18757448311729e-06,3249,"tags=32%, list=17%, signal=26%","PTEN/E2F3/CHUK/MAPK1/RALB/FOS/PTGS2/RAF1/CSF2RA/BID/STAT3/MMP9/BIRC2/EGLN1/STAT5B/RARA/CSF3R/GSK3B/CRK/TGFA/PLCG2/PIAS1/RXRA/RALBP1/CTNNA1/DAPK1/MAX/STAT5A/DAPK2/IKBKG/NCOA4/STK4/CDKN2B/PIK3CD/CASP8/CASP3/TRAF6/PIK3CB/STAT1/SOS2/PLD1/CEBPA/MAPK3/IGF1R/RASSF5/DVL3/PIK3R5/PIAS4/MAP2K1/LAMA3/GRB2/CREBBP/CTBP2/EPAS1/FADD/SMAD2/FLT3/PIK3R3/ZBTB16/RXRB/CRKL/BRAF/ITGA2B/MDM2/TCF7L2/ITGAV/JAK1/KRAS/EP300/TGFBR1/SPI1/AKT1/PIAS2/CBL/RHOA/SMAD4/CDKN1A/JUN/WNT5B/BMP2/ARNT/E2F1/FGF18/SHH/CDC42/KIT/MITF/NTRK1/PIK3CG/ITGA3/COL4A2/BAX/APC/EGLN2/RAC1/LAMB2/SUFU/PPARG"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","Nod Like Receptor Signaling Pathway",53,0.628352072237451,2.19587537721435,3.36691479730787e-07,6.1614540790734e-06,3.47323842248601e-06,2725,"tags=47%, list=15%, signal=40%","CHUK/MAPK1/MAPK14/BIRC2/IL1B/CASP1/NAIP/CARD8/CASP5/IKBKG/RIPK2/TNFAIP3/PSTPIP1/CASP8/TRAF6/NLRP3/NLRP1/MAPK3/PYCARD/CXCL1/MEFV/CARD6/TAB3/CCL2/MAPK13"
