"","naive B cells","memory B cells","Plasma cells","CD8 T cells","naive CD4 T cells","resting CD4 memory T cells","activated CD4 memory T cells","follicular helper T cells","regulatory T cells (Tregs)","gammadelta T cells","resting NK cells","activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","resting dendritic cells","activated dendritic cells","resting Mast cells","activated mast cells","Eosinophils","Neutrophils"
"GSM416567",0.205397773683257,0,0,0,0.073018119288548,0,0,0.0699548479559728,0.1053574195463,0,0.00163227478467358,0,0,0,0.123132233262619,0,0.210457379637076,0,0,0.197299512604784,0.0137504392367698,0
"GSM416568",0.00324446382417073,0,0.0518524706599142,0.501492642748232,0,0,0.0927022968716555,0.058740842542047,0.00477068494712533,0,0.0888810186809477,0.0808489522938018,0,0,0,0,0.0643947205247523,0,0.0342470391394969,0.018824867767857,0,0
"GSM416569",0.159712413321644,0,0.0244266511647387,0.41664852767862,0,0,0.0477497992228926,0.024008745272491,0.0290007640915666,0,0,0.0894661071817127,0.0798747598355622,0,0.00842996318106881,0.0772859823489043,0,0.0321708994267501,0.0112253872740494,0,0,0
"GSM416570",0,0,0,0.248932221557697,0.0849697766242443,0,0,0.041340948914099,0.249867705551604,0,0,0,0,0,0.077819244294386,0,0.138767267386249,0,0,0.158302835671721,0,0
"GSM416571",0.140615682792403,0.105127524869934,0.0366321074947738,0.146150386797608,0,0.169517207723663,0.0583600776000251,0,0.00467989582465739,0,0.0454247456599549,0,0.0445551811571999,0,0,0.0351263970332648,0,0.0201231682312771,0.131737250207337,0,0.0619503746079025,0
"GSM416572",0,0.111956633851922,0,0.219279581805525,0,0.0513521370514529,0.108796846188367,0.0268178013237756,0,0,0,0.127866853621763,0,0.0271214408552613,0,0.0259750471726713,0,0.0148249877196363,0.0873419216094723,0,0.18286768592506,0.0157990628750941
"GSM416573",0,0.12213573484395,0,0.190592084764654,0,0.171787139983511,0.120315929122747,0.00155560819884995,0.0058708455035664,0,0.0442034911258661,0,0,0,0,0.0808792865874113,0,0.0313727735413919,0.0543769131228351,0,0.166728895216219,0.0101812979889991
"GSM416574",0.19170385062038,0,0.108413273394287,0.28511864510649,0,0,0.0957723849935318,0.0150717971329507,0.0947647532439093,0.0135994513105942,0,0.0409819218254779,0,0,0,0,0.0270573355611339,0.0210388610310649,0.0456382306709177,0,0.0608394951092628,0
"GSM416575",0.431034855185602,0,0.0938658369479544,0.0271595419899539,0,0.0534335014521456,0.169032167484461,0.00928036237887738,0.00385986833711021,0.046657395444905,0.0204283308926935,0.0444554524924203,0.0243744888580035,0.00544013951791467,0,0.0158686028705517,0.00543459993795029,0.0139563695852405,0.0145841087404941,0,0,0.0211343778837217
"GSM416576",0.115490073525889,0,0,0,0.0583027208101021,0.0446942686355378,0,0.179952816821607,0.0507038769841849,0.0920478290071337,0,0.0728161125822528,0,0,0,0,0,0.0594418574601618,0,0.0321653335381792,0.228277363081253,0.0661077475536989
"GSM416577",0.209954685928655,0,0.0275881695682553,0.385157097733042,0,0.16067865133168,0,0.0693052364835496,0.0328849833060991,0,0,0.00227346101689052,0.0270467829671352,0,0,0.047942802055859,0,0,0,0,0,0.0371681296088343
"GSM416578",0,0.0744693570834667,0.11395979768375,0.404471589200421,0,0,0.164593843086112,0,0,0.0207098074032574,0,0.0750774192850756,0,0.0140791795019905,0,0,0.0423516144252285,0,0.0902873923306985,0,0,0
"GSM416579",0,0.115843909724528,0.0133952882673875,0.244988266807497,0.0904650559388812,0,0.107039640279538,0,0.122733164370002,0,0.157425295590613,0,0,0.02971357198286,0.0339992217518614,0,0,0,0.0843965852868316,0,0,0
"GSM416580",0.0246441040481417,0.185014512332269,0.0703090493008786,0,0,0.185701803326016,0,0.124542956400026,0.00199169323153362,0.024862995660138,0,0.0666774927411493,0,0,0,0,0,0,0.27712024928383,0,0.0391351436760177,0
"GSM416581",0,0.134522143180958,0.0617609443842585,0.459964496536044,0.0917659245736148,0,0.0316799683906336,0.0245413313334878,0,0,0,0,0,0,0.0799682835626455,0,0.0711315321461552,0,0,0.0446653758922016,0,0
"GSM416582",0.224347446906599,0,0.0551381203785692,0.0388195492260501,0.156237927245158,0,0,0.311926584249352,0,0,0,0.0977920625450781,0.0020191205678068,0,0.00342561732160372,0.0727481661926073,0.0125135044722191,0,0,0.0250319008949562,0,0
"GSM416583",0.123308222576636,0,0.0233010363499879,0.181246459630365,0,0.408459140438167,0.0262225836845101,0.00837158282812894,0,0,0,0.0489173989500323,0.052976497826891,0.0304664600999607,0.0340231095788624,0.0148386264322609,0.0447539078042163,0,0,0.00311497379998155,0,0
"GSM416584",0.0244690152164886,0.079275002774599,0.138219318137507,0.0187198124825144,0.275082272482452,0.116100562353309,0,0,0,0,0.0397567937994287,0,0,0,0.0340210841270773,0,0.109149230661573,0.0209861886690975,0,0.144220719295953,0,0
"GSM416585",0,0.0429557753185801,0.110134057572487,0.378415996429969,0,0,0,0.0492967710614017,0.0741024540430708,0.0293673338062303,0,0.0448682295077616,0,0,0.0146774488774635,0,0.158089449846004,0,0,0.0980924835370328,0,0
"GSM416586",0.128587141772981,0.0210440273084592,0.0912034848731025,0.502754804710077,0,0,0.0851284815756506,0.0219147015616354,0.0572093063203008,0,0,0.0645255292878656,0,0,0.000439782263353516,0.0104954045534557,0.0166973357731189,0,0,0,0,0
"GSM416587",0.139965090445253,0.199589080252731,0.0527347809270211,0.24104343236158,0,0.0993047823962591,0.0158153796637722,0.0318391265666657,0.0586077842742512,0,0.0645903817734671,0,0,0,0,0.0192868284333275,0.0422614306376284,0,0.0349619022680437,0,0,0
"GSM416588",0.114983979260804,0,0,0.262030155339029,0,0.0174849974187078,0.143012261503033,0.0371359636186335,0.0144780847888821,0,0,0.131970491206541,0,0,0,0,0,0,0.154330347064864,0,0.0963307065548894,0.0282430132446173
"GSM416589",0.295409548347821,0,0.0340490836549186,0,0.0152919846229568,0.343735333018597,0,0.0679883688091313,0.107456542994773,0,0,0.00830192646089319,0,0,0,0,0.000138606518320215,0,0.127628605572588,0,0,0
"GSM416590",0.138624453973973,0,0.0289316133187039,0,0.421022717433784,0,0,0.0967134971903881,0.130598374241397,0,0.0867438262731668,0.0112598718259952,0,0,0.00269727989594898,0,0.0469392699357603,0.00472007865141533,0.0264378956149599,0,0.00531112164450836,0
"GSM416528",0.0248606686355922,0.00375036443099053,0.029350843529822,0.0695814846515485,0.03957932418687,0,0.162111647338122,0,0.0601207288453095,0,0.316645227873116,0,0.12783398218668,0.0689793622358871,0.0180611462604859,0,0.0118239934814342,0,0.0673012263441419,0,0,0
"GSM416529",0,0.0156582781289664,0,0,0.0121022689690974,0,0,0.0299710282595012,0,0,0,0,0,0.334630265118683,0,0,0,0,0.4815123290345,0,0,0.126125830489252
"GSM416530",0,0.0899334323136556,0.0540540345939429,0,0.305272464725691,0,0,0,0,0,0,0.0133939221345535,0.25854274433515,0.146266113919394,0.00258109278390026,0,0.0521357104580481,0,0,0.0778204847356648,0,0
"GSM416531",0,0,0,0,0.331951002303652,0,0,0,0,0.138658768376376,0,0,0,0.225052581659045,0,0,0,0,0,0.146738156200802,0,0.157599491460124
"GSM416532",0,0.0541903256391646,0,0,0.00106807058604506,0,0,0,0.0848448746777851,0,0.118095319036369,0,0.0205510356984062,0.0225374063510763,0,0.114530856162463,0,0.0163036174569847,0.0211674268667667,0,0.276660169421028,0.270050898103912
"GSM416533",0,0.0834623215936199,0,0,0.0282739839127923,0.154438830336017,0.120291406939433,0,0,0.0367565267181487,0.12806175351624,0,0.092980531872908,0.0100599787675992,0.00645174368465054,0.0568086464374898,0,0.047552420468897,0.163388752034843,0,0.0714731037173618,0
"GSM416534",0,0.156343549440434,0,0,0,0.266806780837753,0,0,0.0420331147626558,0,0,0.00926735806463731,0.1618065085469,0,0,0.116813344761531,0,0.0427369095365844,0.0068211006939918,0.00394797317654478,0.154809045446941,0.038614314732027
"GSM416535",0.0160010126541273,0,0,0,0.00316751582007264,0,0,0,0,0.0705287293131708,0,0.0123037536957787,0,0.0767171328827004,0,0.0760551419227543,0,0.0545922716390344,0,0.139609719036093,0,0.551024723036268
