,CD8 T cells,M0 Macrophages,M2 Macrophages,Monocytes,Neutrophils,activated mast cells,follicular helper T cells,gammadelta T cells,naive B cells,regulatory T cells (Tregs),resting dendritic cells,CYP1B1,DEGS1,HSDL2,OSBPL1A,PTEN
CD8 T cells,1,-0.378569853527842,0.0499245565784106,-0.113410922793273,-0.500676654629515,-0.345260406018099,0.0697572340883862,-0.316853448295616,0.28168612789429,0.270177552383279,0.223980779756789,-0.295826638825795,-0.376824950901161,-0.517863969829595,-0.433853323834071,-0.477519292454484
M0 Macrophages,-0.378569853527842,1,-0.0267480754473071,0.259293618933402,0.507838960442572,0.258867874179038,-0.417668333156047,0.0993068276693239,-0.480212790644296,-0.414421546165209,-0.386948775341951,0.404931750088134,0.214996830125407,0.487090350742402,0.656460356519221,0.508211073419822
M2 Macrophages,0.0499245565784106,-0.0267480754473071,1,0.47829551310253,0.0769727461056257,-0.171150690091205,-0.131761019653435,0.108284398750313,-0.0540095130690985,-0.123376815747337,-0.167599514185954,0.53996744508611,0.503374987985823,0.237546034009363,0.0844167656160787,0.173128062655733
Monocytes,-0.113410922793273,0.259293618933402,0.47829551310253,1,-0.0250044041986567,-0.052840293041781,-0.335622355197151,-0.0717417046936673,-0.143727503392931,-0.159681218528631,0.00819443812660281,0.508931755343768,0.244313853375746,0.0956126429777861,0.231088280439492,0.0722483511507624
Neutrophils,-0.500676654629515,0.507838960442572,0.0769727461056257,-0.0250044041986567,1,0.282870133713579,-0.2572629896522,0.168121235828673,-0.392491667483365,-0.137106708441232,-0.453486155786342,0.367220553858505,0.307071702499908,0.730527747721562,0.525381285103079,0.67002313636338
activated mast cells,-0.345260406018099,0.258867874179038,-0.171150690091205,-0.052840293041781,0.282870133713579,1,-0.000240732679025764,0.00280417765688061,-0.269230520025198,-0.207486138390136,0.124945580100259,-0.0516106113685298,-0.0665779427796888,0.210736976897694,0.423049462364984,0.435983879492794
follicular helper T cells,0.0697572340883862,-0.417668333156047,-0.131761019653435,-0.335622355197151,-0.2572629896522,-0.000240732679025764,1,0.0844951557048235,0.335734397378823,0.0580954578550438,0.25890884573253,-0.250012765090602,-0.201000561748265,-0.226971976715236,-0.345308657362404,-0.231064748334544
gammadelta T cells,-0.316853448295616,0.0993068276693239,0.108284398750313,-0.0717417046936673,0.168121235828673,0.00280417765688061,0.0844951557048235,1,-0.135712897292051,-0.294076250120149,-0.0561223201639557,0.26225160850264,0.603933888567505,0.245273438281576,0.196729453985511,0.17529621189844
naive B cells,0.28168612789429,-0.480212790644296,-0.0540095130690985,-0.143727503392931,-0.392491667483365,-0.269230520025198,0.335734397378823,-0.135712897292051,1,0.314157628745776,0.11561607247716,-0.147716610400693,-0.115757026705641,-0.487909214861594,-0.520401014771385,-0.397512290788246
regulatory T cells (Tregs),0.270177552383279,-0.414421546165209,-0.123376815747337,-0.159681218528631,-0.137106708441232,-0.207486138390136,0.0580954578550438,-0.294076250120149,0.314157628745776,1,0.0979897285302391,-0.489209448569441,-0.362588701675368,-0.350813646556583,-0.323736207032328,-0.485370884345696
resting dendritic cells,0.223980779756789,-0.386948775341951,-0.167599514185954,0.00819443812660281,-0.453486155786342,0.124945580100259,0.25890884573253,-0.0561223201639557,0.11561607247716,0.0979897285302391,1,-0.226028609662109,-0.288650091292634,-0.457486206143689,-0.269460504217872,-0.35046528775195
CYP1B1,-0.295826638825795,0.404931750088134,0.53996744508611,0.508931755343768,0.367220553858505,-0.0516106113685298,-0.250012765090602,0.26225160850264,-0.147716610400693,-0.489209448569441,-0.226028609662109,1,0.679771505376344,0.567636328725038,0.343125960061444,0.431547619047619
DEGS1,-0.376824950901161,0.214996830125407,0.503374987985823,0.244313853375746,0.307071702499908,-0.0665779427796888,-0.201000561748265,0.603933888567505,-0.115757026705641,-0.362588701675368,-0.288650091292634,0.679771505376344,1,0.475326420890937,0.295266897081413,0.415754608294931
HSDL2,-0.517863969829595,0.487090350742402,0.237546034009363,0.0956126429777861,0.730527747721562,0.210736976897694,-0.226971976715236,0.245273438281576,-0.487909214861594,-0.350813646556583,-0.457486206143689,0.567636328725038,0.475326420890937,1,0.574740783410138,0.572484639016897
OSBPL1A,-0.433853323834071,0.656460356519221,0.0844167656160787,0.231088280439492,0.525381285103079,0.423049462364984,-0.345308657362404,0.196729453985511,-0.520401014771385,-0.323736207032328,-0.269460504217872,0.343125960061444,0.295266897081413,0.574740783410138,1,0.635272657450077
PTEN,-0.477519292454484,0.508211073419822,0.173128062655733,0.0722483511507624,0.67002313636338,0.435983879492794,-0.231064748334544,0.17529621189844,-0.397512290788246,-0.485370884345696,-0.35046528775195,0.431547619047619,0.415754608294931,0.572484639016897,0.635272657450077,1
