,rowname,CD8 T cells,M0 Macrophages,M2 Macrophages,Monocytes,Neutrophils,activated mast cells,follicular helper T cells,gammadelta T cells,naive B cells,regulatory T cells (Tregs),resting dendritic cells,CYP1B1,DEGS1,HSDL2,OSBPL1A,PTEN
1,CD8 T cells,0,0.00479,0.553,0.139,0.00308,0.0354,0.483,0.0316,0.218,0.111,0.225,0.00618,0.00049,1.12e-05,0.00267,0.00132
2,M0 Macrophages,0.00479,0,0.775,0.229,0.000485,0.0115,0.0331,0.601,0.0032,0.0333,0.0218,0.044,0.414,0.000262,1.32e-08,6.42e-05
3,M2 Macrophages,0.553,0.775,0,7.18e-05,0.558,0.407,0.638,0.843,0.285,0.167,0.273,2.8e-05,0.000276,0.043,0.0658,0.102
4,Monocytes,0.139,0.229,7.18e-05,0,0.435,0.48,0.0438,0.783,0.073,0.178,0.343,0.000313,0.108,0.663,0.111,0.876
5,Neutrophils,0.00308,0.000485,0.558,0.435,0,0.000972,0.112,0.654,0.0106,0.266,0.0878,0.000266,0.0151,6.68e-09,4.53e-08,8.93e-09
6,activated mast cells,0.0354,0.0115,0.407,0.48,0.000972,0,0.632,0.39,0.106,0.939,0.234,0.942,0.366,0.152,0.0012,0.0011
7,follicular helper T cells,0.483,0.0331,0.638,0.0438,0.112,0.632,0,0.488,0.0419,0.876,0.627,0.2,0.382,0.444,0.0413,0.469
8,gammadelta T cells,0.0316,0.601,0.843,0.783,0.654,0.39,0.488,0,0.441,0.0772,0.724,0.0364,0.000112,0.0915,0.561,0.572
9,naive B cells,0.218,0.0032,0.285,0.073,0.0106,0.106,0.0419,0.441,0,0.264,0.746,0.329,0.633,0.000975,0.000175,0.00113
10,regulatory T cells (Tregs),0.111,0.0333,0.167,0.178,0.266,0.939,0.876,0.0772,0.264,0,0.00278,0.000223,5.61e-05,0.00748,0.119,9.92e-06
11,resting dendritic cells,0.225,0.0218,0.273,0.343,0.0878,0.234,0.627,0.724,0.746,0.00278,0,0.172,0.000305,0.0081,0.218,0.0139
12,CYP1B1,0.00618,0.044,2.8e-05,0.000313,0.000266,0.942,0.2,0.0364,0.329,0.000223,0.172,0,6.15e-09,3.04e-07,0.00263,0.000198
13,DEGS1,0.00049,0.414,0.000276,0.108,0.0151,0.366,0.382,0.000112,0.633,5.61e-05,0.000305,6.15e-09,0,1.95e-05,0.0174,0.000394
14,HSDL2,1.12e-05,0.000262,0.043,0.663,6.68e-09,0.152,0.444,0.0915,0.000975,0.00748,0.0081,3.04e-07,1.95e-05,0,9.61e-07,7.9e-08
15,OSBPL1A,0.00267,1.32e-08,0.0658,0.111,4.53e-08,0.0012,0.0413,0.561,0.000175,0.119,0.218,0.00263,0.0174,9.61e-07,0,2.81e-11
16,PTEN,0.00132,6.42e-05,0.102,0.876,8.93e-09,0.0011,0.469,0.572,0.00113,9.92e-06,0.0139,0.000198,0.000394,7.9e-08,2.81e-11,0
