"mirna","mrna","mirna_mrna"
"hsa-miR-1297","PTEN","hsa-miR-1297_PTEN"
"hsa-miR-5011-5p","PTEN","hsa-miR-5011-5p_PTEN"
"hsa-miR-26b-5p","PTEN","hsa-miR-26b-5p_PTEN"
"hsa-miR-26a-5p","PTEN","hsa-miR-26a-5p_PTEN"
"hsa-miR-4465","PTEN","hsa-miR-4465_PTEN"
"hsa-miR-4282","CYP1B1","hsa-miR-4282_CYP1B1"
"hsa-miR-4775","PTEN","hsa-miR-4775_PTEN"
"hsa-miR-1277-5p","PTEN","hsa-miR-1277-5p_PTEN"
"hsa-miR-494-3p","PTEN","hsa-miR-494-3p_PTEN"
"hsa-miR-513a-3p","PTEN","hsa-miR-513a-3p_PTEN"
"hsa-miR-513c-3p","PTEN","hsa-miR-513c-3p_PTEN"
"hsa-miR-29b-3p","PTEN","hsa-miR-29b-3p_PTEN"
"hsa-miR-29a-3p","PTEN","hsa-miR-29a-3p_PTEN"
"hsa-miR-29c-3p","PTEN","hsa-miR-29c-3p_PTEN"
"hsa-miR-486-5p","PTEN","hsa-miR-486-5p_PTEN"
"hsa-miR-3944-5p","PTEN","hsa-miR-3944-5p_PTEN"
"hsa-miR-32-5p","PTEN","hsa-miR-32-5p_PTEN"
"hsa-miR-92b-3p","PTEN","hsa-miR-92b-3p_PTEN"
"hsa-miR-92a-3p","PTEN","hsa-miR-92a-3p_PTEN"
"hsa-miR-30a-3p","PTEN","hsa-miR-30a-3p_PTEN"
"hsa-miR-30e-3p","PTEN","hsa-miR-30e-3p_PTEN"
"hsa-miR-30d-3p","PTEN","hsa-miR-30d-3p_PTEN"
"hsa-miR-4527","HSDL2","hsa-miR-4527_HSDL2"
"hsa-miR-3148","PTEN","hsa-miR-3148_PTEN"
"hsa-miR-4482-3p","PTEN","hsa-miR-4482-3p_PTEN"
"hsa-miR-3064-3p","PTEN","hsa-miR-3064-3p_PTEN"
"hsa-miR-590-3p","PTEN","hsa-miR-590-3p_PTEN"
"hsa-miR-432-5p","HSDL2","hsa-miR-432-5p_HSDL2"
"hsa-miR-198","PTEN","hsa-miR-198_PTEN"
"hsa-miR-548ar-3p","PTEN","hsa-miR-548ar-3p_PTEN"
"hsa-miR-3065-3p","PTEN","hsa-miR-3065-3p_PTEN"
"hsa-miR-337-3p","PTEN","hsa-miR-337-3p_PTEN"
"hsa-miR-3119","HSDL2","hsa-miR-3119_HSDL2"
"hsa-miR-548e-3p","PTEN","hsa-miR-548e-3p_PTEN"
"hsa-miR-548f-3p","PTEN","hsa-miR-548f-3p_PTEN"
"hsa-miR-143-3p","DEGS1","hsa-miR-143-3p_DEGS1"
"hsa-miR-4770","DEGS1","hsa-miR-4770_DEGS1"
"hsa-miR-5688","PTEN","hsa-miR-5688_PTEN"
"hsa-miR-548a-3p","PTEN","hsa-miR-548a-3p_PTEN"
"hsa-miR-4470","PTEN","hsa-miR-4470_PTEN"
"hsa-miR-433-3p","CYP1B1","hsa-miR-433-3p_CYP1B1"
"hsa-miR-19a-3p","PTEN","hsa-miR-19a-3p_PTEN"
"hsa-miR-19b-3p","PTEN","hsa-miR-19b-3p_PTEN"
"hsa-miR-3974","PTEN","hsa-miR-3974_PTEN"
"hsa-miR-513a-5p","CYP1B1","hsa-miR-513a-5p_CYP1B1"
"hsa-miR-4662a-5p","PTEN","hsa-miR-4662a-5p_PTEN"
"hsa-miR-4795-3p","CYP1B1","hsa-miR-4795-3p_CYP1B1"
"hsa-miR-548av-3p","PTEN","hsa-miR-548av-3p_PTEN"
"hsa-miR-335-3p","PTEN","hsa-miR-335-3p_PTEN"
"hsa-miR-4282","DEGS1","hsa-miR-4282_DEGS1"
"hsa-miR-3911","HSDL2","hsa-miR-3911_HSDL2"
"hsa-miR-1279","PTEN","hsa-miR-1279_PTEN"
"hsa-miR-466","PTEN","hsa-miR-466_PTEN"
"hsa-miR-3658","PTEN","hsa-miR-3658_PTEN"
"hsa-miR-934","CYP1B1","hsa-miR-934_CYP1B1"
"hsa-miR-5003-3p","HSDL2","hsa-miR-5003-3p_HSDL2"
"hsa-miR-4698","HSDL2","hsa-miR-4698_HSDL2"
"hsa-miR-4729","PTEN","hsa-miR-4729_PTEN"
"hsa-miR-4303","PTEN","hsa-miR-4303_PTEN"
"hsa-miR-1285-3p","PTEN","hsa-miR-1285-3p_PTEN"
"hsa-miR-3613-3p","CYP1B1","hsa-miR-3613-3p_CYP1B1"
"hsa-miR-3941","PTEN","hsa-miR-3941_PTEN"
"hsa-miR-548aw","PTEN","hsa-miR-548aw_PTEN"
"hsa-miR-889-3p","PTEN","hsa-miR-889-3p_PTEN"
"hsa-miR-5003-3p","CYP1B1","hsa-miR-5003-3p_CYP1B1"
