val1,val2
PTEN,hsa-miR-1297
PTEN,hsa-miR-5011-5p
PTEN,hsa-miR-26b-5p
PTEN,hsa-miR-26a-5p
PTEN,hsa-miR-4465
CYP1B1,hsa-miR-4282
PTEN,hsa-miR-4775
PTEN,hsa-miR-1277-5p
PTEN,hsa-miR-494-3p
PTEN,hsa-miR-513a-3p
PTEN,hsa-miR-513c-3p
PTEN,hsa-miR-29b-3p
PTEN,hsa-miR-29a-3p
PTEN,hsa-miR-29c-3p
PTEN,hsa-miR-486-5p
PTEN,hsa-miR-3944-5p
PTEN,hsa-miR-32-5p
PTEN,hsa-miR-92b-3p
PTEN,hsa-miR-92a-3p
PTEN,hsa-miR-30a-3p
PTEN,hsa-miR-30e-3p
PTEN,hsa-miR-30d-3p
HSDL2,hsa-miR-4527
PTEN,hsa-miR-3148
PTEN,hsa-miR-4482-3p
PTEN,hsa-miR-3064-3p
PTEN,hsa-miR-590-3p
HSDL2,hsa-miR-432-5p
PTEN,hsa-miR-198
PTEN,hsa-miR-548ar-3p
PTEN,hsa-miR-3065-3p
PTEN,hsa-miR-337-3p
HSDL2,hsa-miR-3119
PTEN,hsa-miR-548e-3p
PTEN,hsa-miR-548f-3p
DEGS1,hsa-miR-143-3p
DEGS1,hsa-miR-4770
PTEN,hsa-miR-5688
PTEN,hsa-miR-548a-3p
PTEN,hsa-miR-4470
CYP1B1,hsa-miR-433-3p
PTEN,hsa-miR-19a-3p
PTEN,hsa-miR-19b-3p
PTEN,hsa-miR-3974
CYP1B1,hsa-miR-513a-5p
PTEN,hsa-miR-4662a-5p
CYP1B1,hsa-miR-4795-3p
PTEN,hsa-miR-548av-3p
PTEN,hsa-miR-335-3p
DEGS1,hsa-miR-4282
HSDL2,hsa-miR-3911
PTEN,hsa-miR-1279
PTEN,hsa-miR-466
PTEN,hsa-miR-3658
CYP1B1,hsa-miR-934
HSDL2,hsa-miR-5003-3p
HSDL2,hsa-miR-4698
PTEN,hsa-miR-4729
PTEN,hsa-miR-4303
PTEN,hsa-miR-1285-3p
CYP1B1,hsa-miR-3613-3p
PTEN,hsa-miR-3941
PTEN,hsa-miR-548aw
PTEN,hsa-miR-889-3p
CYP1B1,hsa-miR-5003-3p
hsa-miR-1277-5p,LINC01123
hsa-miR-1277-5p,AC096921.2
hsa-miR-1277-5p,CTBP1-DT
hsa-miR-1277-5p,DANCR
hsa-miR-1277-5p,EPB41L4A-AS1
hsa-miR-1297,NNT-AS1
hsa-miR-1297,AC005082.1
hsa-miR-1297,AC016026.1
hsa-miR-143-3p,AC107398.3
hsa-miR-143-3p,AL590004.3
hsa-miR-143-3p,LINC02587
hsa-miR-143-3p,MAGI2-AS3
hsa-miR-143-3p,AC010973.2
hsa-miR-19a-3p,TMEM51-AS1
hsa-miR-19a-3p,DHCR24-DT
hsa-miR-19a-3p,C2orf49-DT
hsa-miR-19a-3p,FGD5-AS1
hsa-miR-19a-3p,IRF1-AS1
hsa-miR-19b-3p,TMEM51-AS1
hsa-miR-19b-3p,DHCR24-DT
hsa-miR-19b-3p,C2orf49-DT
hsa-miR-19b-3p,FGD5-AS1
hsa-miR-19b-3p,IRF1-AS1
hsa-miR-26a-5p,AL137127.1
hsa-miR-26a-5p,GAS5
hsa-miR-26a-5p,THUMPD3-AS1
hsa-miR-26a-5p,NNT-AS1
hsa-miR-26a-5p,HCG11
hsa-miR-26b-5p,GAS5
hsa-miR-26b-5p,THUMPD3-AS1
hsa-miR-26b-5p,NNT-AS1
hsa-miR-26b-5p,HCG11
hsa-miR-26b-5p,SNHG5
hsa-miR-29a-3p,LINC02593
hsa-miR-29a-3p,AL139287.1
hsa-miR-29a-3p,AL031282.2
hsa-miR-29a-3p,GAS5
hsa-miR-29a-3p,MIR29B2CHG
hsa-miR-29b-3p,LINC02593
hsa-miR-29b-3p,AL139287.1
hsa-miR-29b-3p,AL031282.2
hsa-miR-29b-3p,GAS5
hsa-miR-29b-3p,MIR29B2CHG
hsa-miR-29c-3p,LINC02593
hsa-miR-29c-3p,AL139287.1
hsa-miR-29c-3p,AL031282.2
hsa-miR-29c-3p,GAS5
hsa-miR-29c-3p,AC016717.2
hsa-miR-32-5p,LINC01128
hsa-miR-32-5p,SLC16A1-AS1
hsa-miR-32-5p,AC012063.1
hsa-miR-32-5p,PURPL
hsa-miR-32-5p,SNHG4
hsa-miR-337-3p,AC242426.2
hsa-miR-337-3p,Z99943.1
hsa-miR-337-3p,KCNQ1OT1
hsa-miR-337-3p,OIP5-AS1
hsa-miR-337-3p,AC020978.7
hsa-miR-432-5p,LINC01106
hsa-miR-432-5p,RHOA-IT1
hsa-miR-432-5p,AC116351.1
hsa-miR-432-5p,AL513548.1
hsa-miR-432-5p,AL358933.1
hsa-miR-433-3p,LINC01355
hsa-miR-433-3p,GAS5
hsa-miR-433-3p,AC069277.1
hsa-miR-433-3p,CTBP1-DT
hsa-miR-433-3p,AC107398.3
hsa-miR-4465,AL137127.1
hsa-miR-4465,GAS5
hsa-miR-4465,THUMPD3-AS1
hsa-miR-4465,NNT-AS1
hsa-miR-4465,HCG11
hsa-miR-4662a-5p,SNHG3
hsa-miR-4662a-5p,TRDN-AS1
hsa-miR-4662a-5p,NEAT1
hsa-miR-4662a-5p,AC010186.3
hsa-miR-4662a-5p,SNHG14
hsa-miR-4770,AL590004.3
hsa-miR-4770,MAGI2-AS3
hsa-miR-4770,AC010973.2
hsa-miR-4770,PVT1
hsa-miR-4770,RHPN1-AS1
hsa-miR-486-5p,LINC01123
hsa-miR-486-5p,AC009630.2
hsa-miR-486-5p,KCNQ1OT1
hsa-miR-486-5p,NEAT1
hsa-miR-486-5p,RAB30-DT
hsa-miR-494-3p,SNHG12
hsa-miR-494-3p,AL390038.1
hsa-miR-494-3p,AL162431.1
hsa-miR-494-3p,MIR29B2CHG
hsa-miR-494-3p,AC009948.2
hsa-miR-513a-5p,GAS5
hsa-miR-513a-5p,MIR29B2CHG
hsa-miR-513a-5p,AC093010.2
hsa-miR-513a-5p,SOX2-OT
hsa-miR-513a-5p,AC095055.1
hsa-miR-5688,LINC01355
hsa-miR-5688,SNHG12
hsa-miR-5688,AC068756.1
hsa-miR-5688,AC093010.2
hsa-miR-5688,SNHG4
hsa-miR-889-3p,AC016747.4
hsa-miR-889-3p,MIR4435-2HG
hsa-miR-889-3p,AC104109.4
hsa-miR-889-3p,AC021078.1
hsa-miR-889-3p,AL158206.1
hsa-miR-92a-3p,LINC01128
hsa-miR-92a-3p,SLC16A1-AS1
hsa-miR-92a-3p,AC012063.1
hsa-miR-92a-3p,AC104472.1
hsa-miR-92a-3p,PURPL
hsa-miR-92b-3p,LINC01128
hsa-miR-92b-3p,SLC16A1-AS1
hsa-miR-92b-3p,AC012063.1
hsa-miR-92b-3p,AC104472.1
hsa-miR-92b-3p,PURPL
hsa-miR-934,WARS2-AS1
hsa-miR-934,ZSCAN16-AS1
hsa-miR-934,MAGI2-AS3
hsa-miR-934,KCNQ1OT1
hsa-miR-934,AC092828.1
