ID,Accession,Target,TargetID,Experiment,Literature,Tissue
MYC,4609,PTEN,5728,Unknown,bav095,Not Applicable
TP53,7157,PTEN,5728,+,bav095,Not Applicable
MAX,4149,PTEN,5728,Unknown,bav095,Not Applicable
YY1,7528,PTEN,5728,Unknown,bav095,Not Applicable
USF1,7391,PTEN,5728,Unknown,bav095,Not Applicable
USF1,7391,OSBPL1A,114876,Unknown,bav095,Not Applicable
TLX2,3196,HSDL2,84263,Unknown,bav095,Not Applicable
TFAP2C,7022,PTEN,5728,Unknown,bav095,Not Applicable
TFAP2A,7020,PTEN,5728,Unknown,bav095,Not Applicable
TFAP2A,7020,OSBPL1A,114876,Unknown,bav095,Not Applicable
TFAP2A,7020,CYP1B1,1545,Unknown,bav095,Not Applicable
STAT5A,6776,CYP1B1,1545,Unknown,bav095,Not Applicable
STAT1,6772,CYP1B1,1545,Unknown,bav095,Not Applicable
SRF,6722,DEGS1,8560,Unknown,bav095,Not Applicable
SP1,6667,PTEN,5728,Unknown,bav095,Not Applicable
SP1,6667,OSBPL1A,114876,Unknown,bav095,Not Applicable
SP1,6667,HSDL2,84263,Unknown,bav095,Not Applicable
REST,5978,PTEN,5728,Unknown,bav095,Not Applicable
PPARG,5468,HSDL2,84263,Unknown,bav095,Not Applicable
PAX5,5079,PTEN,5728,Unknown,bav095,Not Applicable
MYC,4609,DEGS1,8560,Unknown,bav095,Not Applicable
MIF,4282,PTEN,5728,Unknown,bav095,Not Applicable
MAX,4149,OSBPL1A,114876,Unknown,bav095,Not Applicable
MAX,4149,DEGS1,8560,Unknown,bav095,Not Applicable
IRF4,3662,HSDL2,84263,Unknown,bav095,Not Applicable
IRF1,3659,HSDL2,84263,Unknown,bav095,Not Applicable
GATA3,2625,PTEN,5728,Unknown,bav095,Not Applicable
GATA2,2624,PTEN,5728,Unknown,bav095,Not Applicable
GATA1,2623,PTEN,5728,Unknown,bav095,Not Applicable
ESR1,2099,CYP1B1,1545,Unknown,bav095,Not Applicable
EGR1,1958,PTEN,5728,Unknown,bav095,Not Applicable
EGR1,1958,HSDL2,84263,Unknown,bav095,Not Applicable
EGR1,1958,DEGS1,8560,Unknown,bav095,Not Applicable
E2F4,1874,CYP1B1,1545,Unknown,bav095,Not Applicable
CUX1,1523,CYP1B1,1545,Unknown,bav095,Not Applicable
CTCF,10664,PTEN,5728,Unknown,bav095,Not Applicable
CTCF,10664,OSBPL1A,114876,Unknown,bav095,Not Applicable
CTCF,10664,CYP1B1,1545,Unknown,bav095,Not Applicable
CEBPB,1051,PTEN,5728,Unknown,bav095,Not Applicable
CEBPA,1050,PTEN,5728,Unknown,bav095,Not Applicable
ARNT,405,PTEN,5728,Unknown,bav095,Not Applicable
ARNT,405,DEGS1,8560,Unknown,bav095,Not Applicable
AHR,196,DEGS1,8560,Unknown,bav095,Not Applicable
AR,367,PTEN,5728,Unknown,bav095,Not Applicable
