"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Drug_name"
"FLAVANONE CTD 00001352","2/19",8.53534381334727e-06,0.00470297444115435,0,0,783.450980392157,9143.88744734004,"PTEN","FLAVANONE"
"FLAVANONE CTD 00001352","2/19",8.53534381334727e-06,0.00470297444115435,0,0,783.450980392157,9143.88744734004,"CYP1B1","FLAVANONE"
"mesalazine MCF7 DOWN","2/78",0.00014901384711723,0.027368876587198,0,0,174.728070175439,1539.61137961533,"PTEN","mesalazine"
"mesalazine MCF7 DOWN","2/78",0.00014901384711723,0.027368876587198,0,0,174.728070175439,1539.61137961533,"CYP1B1","mesalazine"
"Tetradioxin CTD 00006848","5/3768",0.000236839523318215,0.0307371113634855,0,0,81160,677534.049243217,"HSDL2","Tetradioxin"
"Tetradioxin CTD 00006848","5/3768",0.000236839523318215,0.0307371113634855,0,0,81160,677534.049243217,"PTEN","Tetradioxin"
"Tetradioxin CTD 00006848","5/3768",0.000236839523318215,0.0307371113634855,0,0,81160,677534.049243217,"CYP1B1","Tetradioxin"
"Tetradioxin CTD 00006848","5/3768",0.000236839523318215,0.0307371113634855,0,0,81160,677534.049243217,"DEGS1","Tetradioxin"
"Tetradioxin CTD 00006848","5/3768",0.000236839523318215,0.0307371113634855,0,0,81160,677534.049243217,"OSBPL1A","Tetradioxin"
"Galangin TTD 00008147","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1","Galangin"
"MCDF CTD 00002334","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1","MCDF"
"trans-1,2-Dihydro-1,2-naphthalenediol CTD 00004552","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1","trans-1,2-Dihydro-1,2-naphthalenediol"
"PRIMAQUINE CTD 00006613","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1","PRIMAQUINE"
"2,3,4,7,8-PENTACHLORODIBENZOFURAN CTD 00001811","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1","2,3,4,7,8-PENTACHLORODIBENZOFURAN"
"Norharman CTD 00000536","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1","Norharman"
