"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"FLAVANONE CTD 00001352","2/19",8.53534381334727e-06,0.00470297444115435,0,0,783.450980392157,9143.88744734004,"PTEN;CYP1B1"
"cycloheximide CTD 00005731","3/324",4.11188185189539e-05,0.0113282345019718,0,0,91.9345794392523,928.451424451309,"PTEN;CYP1B1;DEGS1"
"mesalazine MCF7 DOWN","2/78",0.00014901384711723,0.027368876587198,0,0,174.728070175439,1539.61137961533,"PTEN;CYP1B1"
"Tetradioxin CTD 00006848","5/3768",0.000236839523318215,0.0307371113634855,0,0,81160,677534.049243217,"HSDL2;PTEN;CYP1B1;DEGS1;OSBPL1A"
"sulpiride PC3 DOWN","3/617",0.000278921155748507,0.0307371113634855,0,0,47.3477198697068,387.521267944488,"HSDL2;CYP1B1;DEGS1"
"DEOXYNIVALENOL CTD 00000341","2/130",0.00041391715119355,0.037229275963085,0,0,103.473958333333,806.046068193075,"PTEN;CYP1B1"
"daunorubicin CTD 00005752","2/146",0.000521680506296896,0.037229275963085,0,0,91.9027777777778,694.643029909295,"PTEN;CYP1B1"
"LY 294002 CTD 00003061","2/227",0.00125396684958495,0.037229275963085,0,0,58.5777777777778,391.384099272334,"PTEN;CYP1B1"
"3,3',4,4',5-Pentachlorobiphenyl CTD 00001077","2/237",0.00136576343096296,0.037229275963085,0,0,56.0567375886525,369.752579631636,"HSDL2;CYP1B1"
"PD 98059 CTD 00003206","2/262",0.0016655774402143,0.037229275963085,0,0,50.6025641025641,323.734124339615,"PTEN;CYP1B1"
"Premarin CTD 00005926","2/265",0.00170349839861225,0.037229275963085,0,0,50.0177439797212,318.866682181229,"PTEN;CYP1B1"
"3-methylcholanthrene CTD 00006310","2/297",0.00213373756344181,0.037229275963085,0,0,44.5197740112994,273.791272799337,"CYP1B1;DEGS1"
"Fulvestrant CTD 00002740","2/310",0.00232190418486927,0.037229275963085,0,0,42.6125541125541,258.460807650308,"PTEN;CYP1B1"
"N-Acetyl-L-cysteine CTD 00005305","2/315",0.0023963239680355,0.037229275963085,0,0,41.9211927582535,252.944905961263,"PTEN;CYP1B1"
"thiostrepton HL60 DOWN","2/325",0.00254856686001915,0.037229275963085,0,0,40.6026831785346,242.488322738803,"CYP1B1;OSBPL1A"
"TERT-BUTYL HYDROPEROXIDE CTD 00007349","3/1341",0.00271419993431044,0.037229275963085,0,0,20.9159192825112,123.597564446021,"PTEN;CYP1B1;OSBPL1A"
"Galangin TTD 00008147","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1"
"MCDF CTD 00002334","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1"
"trans-1,2-Dihydro-1,2-naphthalenediol CTD 00004552","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1"
"PRIMAQUINE CTD 00006613","1/11",0.00274720535833692,0.037229275963085,0,0,499.625,2946.37411950643,"CYP1B1"
"5-azacytidine CTD 00005455","2/352",0.00298218895501525,0.037229275963085,0,0,37.4190476190476,217.595417725164,"PTEN;CYP1B1"
"2,3,4,7,8-PENTACHLORODIBENZOFURAN CTD 00001811","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"Norharman CTD 00000536","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"quercitrin CTD 00000657","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"2'-Hydroxychalcone CTD 00000681","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"5,7-Dimethoxyflavone CTD 00002502","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"Chrysoeriol CTD 00000330","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"ANILINE CTD 00001100","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"3-NITROFLUORANTHENE CTD 00001617","1/12",0.00299665302989365,0.037229275963085,0,0,454.181818181818,2638.91411927659,"CYP1B1"
"diarylpropionitrile CTD 00004308","1/13",0.00324605087508978,0.037229275963085,0,0,416.3125,2385.60223672184,"PTEN"
