,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Cd74,0,2.27252388225136,0.97,0.239,0,0,Cd74
Igkc,0,2.4921317552521,0.889,0.209,0,0,Igkc
H2-Ab1,0,2.32298764369571,0.768,0.198,0,0,H2-Ab1
Ighd,0,2.75762563525477,0.677,0.155,0,0,Ighd
H2-Aa,0,2.15255137658654,0.669,0.186,0,0,H2-Aa
Ighm,0,2.26028188193562,0.636,0.216,0,0,Ighm
Ms4a1,0,2.68694477805416,0.538,0.142,0,0,Ms4a1
Ly6d,0,2.74675946839293,0.497,0.128,0,0,Ly6d
H2-Eb1,0,2.10906669999055,0.529,0.164,0,0,H2-Eb1
Iglc2,0,2.39071541515872,0.446,0.129,0,0,Iglc2
Cd79b,0,2.35586621755653,0.45,0.14,0,0,Cd79b
Rps19,0,0.933393778694334,0.793,0.503,0,0,Rps19
Iglc3,0,2.44519033964345,0.415,0.125,0,0,Iglc3
Bank1,0,2.68881686669987,0.331,0.097,0,0,Bank1
Rps24,0,0.770889050692665,0.715,0.505,0,0,Rps24
Macf1,0,1.77930821967051,0.473,0.266,0,0,Macf1
Rps15a,0,0.767885573260438,0.698,0.492,0,0,Rps15a
Cd79a,0,2.63499543349061,0.285,0.087,0,0,Cd79a
Rpl13,0,0.755663547406801,0.721,0.524,0,0,Rpl13
Ralgps2,0,2.79110895282446,0.262,0.076,0,0,Ralgps2
mt-Cytb,0,1.25919302441696,0.56,0.394,0,0,mt-Cytb
Rps27,0,0.901419723194969,0.857,0.706,0,0,Rps27
Rpl18a,0,0.867548963686374,0.687,0.544,0,0,Rpl18a
mt-Rnr1,0,1.03847774420958,0.878,0.758,0,0,mt-Rnr1
mt-Rnr2,0,1.16190673923897,0.999,0.991,0,0,mt-Rnr2
Rps5,7.22710575102924e-296,0.823913098674572,0.659,0.474,1.16898435522898e-291,0,Rps5
Ly6e,2.3793088671372e-283,1.05362256223149,0.593,0.49,3.84853209259442e-279,0,Ly6e
