"","sum"
"Pentose phosphate pathway",1216.7340977341
"Starch and sucrose metabolism",796.71018981019
"Glutathione metabolism",777.1029892837
"Glycolysis / Gluconeogenesis",771.87506222001
"Caffeine metabolism",742.370951913641
"Histidine metabolism",659.948298645524
"Arachidonic acid metabolism",656.498997995992
"Oxidative phosphorylation",653.434440130316
"Ether lipid metabolism",551.837326827568
"Glycosphingolipid biosynthesis - lacto and neolacto series",471.153922542205
"Arginine and proline metabolism",464.027379751093
"D-Glutamine and D-glutamate metabolism",429.699705593719
"Neomycin, kanamycin and gentamicin biosynthesis",427.762278978389
"Pyruvate metabolism",427.583202921231
"Arginine biosynthesis",417.336843711844
"Nicotinate and nicotinamide metabolism",403.486666666667
"Fructose and mannose metabolism",378.257590361446
"Biosynthesis of unsaturated fatty acids",354.984452736318
"Amino sugar and nucleotide sugar metabolism",349.749527127924
"Drug metabolism - cytochrome P450",343.642488868057
"Purine metabolism",335.089826119127
"Glycerophospholipid metabolism",323.143662567391
"Fatty acid elongation",320.380307589435
"Synthesis and degradation of ketone bodies",311.150082101806
"Phenylalanine metabolism",306.856015779093
"Ascorbate and aldarate metabolism",301.526908988447
"Glycerolipid metabolism",301.37618461209
"Metabolism of xenobiotics by cytochrome P450",295.679588679589
"Selenocompound metabolism",290.846382556987
"Other glycan degradation",287.471764346764
"Lysine degradation",279.447094801223
"Sphingolipid metabolism",271.884736873473
"Drug metabolism - other enzymes",264.003498877226
"Taurine and hypotaurine metabolism",262.301376597837
"Inositol phosphate metabolism",262.19317100673
"beta-Alanine metabolism",250.874925074925
"Citrate cycle (TCA cycle)",248.913645148821
"Phenylalanine, tyrosine and tryptophan biosynthesis",241.080550098232
"Galactose metabolism",236.363363363363
"Phosphonate and phosphinate metabolism",230.794001966568
"Primary bile acid biosynthesis",229.637926176388
"alpha-Linolenic acid metabolism",228.187520525452
"Butanoate metabolism",220.874694749695
"Nitrogen metabolism",216.38005923001
"Fatty acid degradation",216.033872598584
"Steroid biosynthesis",210.998258706468
"Valine, leucine and isoleucine degradation",210.357668807771
"Tyrosine metabolism",209.791056166056
"Mucin type O-glycan biosynthesis",209.509741550696
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",204.350351927723
"Pyrimidine metabolism",203.317730496454
"Pentose and glucuronate interconversions",200.808886686488
"Other types of O-glycan biosynthesis",200.489974520882
"Glyoxylate and dicarboxylate metabolism",198.103142857143
"Cysteine and methionine metabolism",187.825832492432
"Porphyrin and chlorophyll metabolism",185.277714285714
"Alanine, aspartate and glutamate metabolism",181.126168715201
"Glycosphingolipid biosynthesis - ganglio series",179.733211233211
"Tryptophan metabolism",172.669030969031
"Folate biosynthesis",164.77548045063
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",164.605929224279
"Glycosphingolipid biosynthesis - globo and isoglobo series",159.339532262609
"Glycosaminoglycan biosynthesis - keratan sulfate",153.736934563022
"Glycosaminoglycan degradation",152.425314777999
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",147.690070210632
"Fatty acid biosynthesis",145.301712779974
"Glycine, serine and threonine metabolism",139.797904761905
"N-Glycan biosynthesis",132.207615729219
"Mannose type O-glycan biosynthesis",129.839267981274
"Pantothenate and CoA biosynthesis",129.013875123885
"Sulfur metabolism",126.430825584672
"Propanoate metabolism",124.88874958208
"Riboflavin metabolism",119.030149337842
"Vitamin B6 metabolism",117.207472959685
"Terpenoid backbone biosynthesis",115.476100430718
"Biotin metabolism",114.261951538965
"One carbon pool by folate",112.213253810471
"Thiamine metabolism",110.414778325123
"Lipoic acid metabolism",106.094302554028
"Valine, leucine and isoleucine biosynthesis",90.6725490196078
"Ubiquinone and other terpenoid-quinone biosynthesis",82.0052700922266
