,Name,B_cells,BasEos,Dendritics,Monocytes,Neutrophils,NK_cells,T_cells
R-HSA-1059683,Interleukin-6 signaling,-0.320462091526909,-0.322805496145647,-0.260907293841626,-0.32982599053675,-0.3129783769963,-0.278211268334599,-0.316344443002457
R-HSA-109703,PKB-mediated events,0.0128536161008931,0.0129888114402937,0.258327316752453,-0.00196599799448349,0.000176639567482928,0.015241496732359,0.137432104342242
R-HSA-109704,PI3K Cascade,-0.151186097199517,-0.153690448811616,-0.107810571081125,-0.094445333409441,-0.165238544013647,-0.148786745391602,-0.118110546364731
R-HSA-110056,MAPK3 (ERK1) activation,-0.155621971644854,-0.158577202997626,-0.131777587894356,-0.168275436770931,-0.14681742061091,-0.128314977917252,-0.140959446194561
R-HSA-110312,Translesion synthesis by REV1,-0.144378627016413,-0.13216645816842,-0.11343863712276,-0.127494342006906,-0.132805847447718,-0.141620471332636,-0.111409169794144
R-HSA-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,-0.189783025206518,-0.182909465849779,-0.167483452730077,-0.172366774696432,-0.187564970301459,-0.187280802039916,-0.164838204621659
R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex,-0.159606345000362,-0.149727406438993,-0.112087446175418,-0.134493758492208,-0.151585646477461,-0.15715417253145,-0.132755747107241
R-HSA-110320,Translesion Synthesis by POLH,-0.167570171878301,-0.157967415823692,-0.131195563803808,-0.141752967572097,-0.159301022790498,-0.165100583236531,-0.129049724945921
R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,-0.290406524496417,-0.279187289923061,-0.193900382835604,-0.284479700994076,-0.261108426707876,-0.288948358030478,-0.134813637558618
R-HSA-110329,Cleavage of the damaged pyrimidine ,-0.290406524496417,-0.279187289923061,-0.193900382835604,-0.284479700994076,-0.261108426707876,-0.288948358030478,-0.134813637558618
R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine,-0.301773117660069,-0.289621611990226,-0.196258656492581,-0.294957057568662,-0.285582890504119,-0.300164126049514,-0.132530012871577
R-HSA-110331,Cleavage of the damaged purine,-0.301773117660069,-0.289621611990226,-0.196258656492581,-0.294957057568662,-0.285582890504119,-0.300164126049514,-0.132530012871577
R-HSA-110357,Displacement of DNA glycosylase by APEX1,0.114185712380101,0.109486807285839,0.0779970057882902,0.0978566706747472,0.0920275011896461,0.116414908718462,0.0829993127874991
R-HSA-110362,POLB-Dependent Long Patch Base Excision Repair,-0.129430210720544,-0.133753425947772,-0.160978973841653,-0.143907495173505,-0.148711246455279,-0.127078502831235,-0.156555436617116
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,-0.0706885724958178,-0.0744178404237713,-0.0779878143275747,-0.0619236810114016,-0.0666461998635333,-0.0672524110493154,-0.0735426247301258
R-HSA-110381,Resolution of AP sites via the single-nucleotide replacement pathway,-0.249805475529885,-0.254010804636929,-0.280916289427081,-0.26416772347332,-0.268856091714448,-0.247880131546195,-0.276457520370794
R-HSA-111367,SLBP independent Processing of Histone Pre-mRNAs,-0.354797432868391,-0.357558000459502,-0.371166095686111,-0.361533376387855,-0.365138781686286,-0.353070212733903,-0.330225506157448
R-HSA-111446,Activation of BIM and translocation to mitochondria ,-0.269946313622819,-0.27297393753457,-0.225443423938854,-0.207443239311888,-0.287980853568332,-0.267031997872297,-0.219522250709224
R-HSA-111447,Activation of BAD and translocation to mitochondria ,-0.121996302714029,-0.123140213585771,-0.096616532845853,-0.12666066492874,-0.128980764571581,-0.122961545132749,-0.123938992526655
R-HSA-111448,Activation of NOXA and translocation to mitochondria,-0.254772564236643,-0.264216300085627,-0.242981837974778,-0.218120469969251,-0.23367062366865,-0.259720281286231,-0.240075515824055
R-HSA-111452,Activation and oligomerization of BAK protein,-0.3142885746798,-0.317890839797117,-0.343872569645545,-0.328516528050617,-0.329312239037246,-0.31238747686945,-0.33876972592478
R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,-0.356488929801476,-0.3547251042984,-0.348062726547689,-0.36109627309415,-0.315673469956444,-0.332211010478553,-0.365830287128364
R-HSA-111457,Release of apoptotic factors from the mitochondria,-0.189324738386628,-0.192384190062387,-0.216754567525655,-0.201782509238356,-0.163103940695414,-0.187543690175145,-0.212956425149534
R-HSA-111458,Formation of apoptosome,-0.123157074204985,-0.126613530691345,-0.153086639486196,-0.136908341026912,-0.0982999342262518,-0.121206110716534,-0.148757638878843
R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,-0.234854508964571,-0.237454533374343,-0.259941819511793,-0.142607734075274,-0.147170828125906,-0.23325977017519,-0.256408233078487
R-HSA-111461,Cytochrome c-mediated apoptotic response,-0.164146429697332,-0.167275576662619,-0.191978845383048,-0.136564631574566,-0.121067845455276,-0.162429238190173,-0.187761050488062
R-HSA-111463,SMAC (DIABLO) binds to IAPs ,-0.225213417285797,-0.22786954658882,-0.250836712341789,-0.154817717899074,-0.159172502313644,-0.223561651924117,-0.24721939960148
R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,-0.225213417285797,-0.22786954658882,-0.250836712341789,-0.154817717899074,-0.159172502313644,-0.223561651924117,-0.24721939960148
R-HSA-111465,Apoptotic cleavage of cellular proteins,-0.198136863690317,-0.196294708615891,-0.192197083814962,-0.181748049675611,-0.19246466811139,-0.196332166520267,-0.205417263357696
R-HSA-111469,SMAC, XIAP-regulated apoptotic response,-0.198163977299317,-0.200842002311768,-0.224157205899596,-0.129441956860074,-0.133858972627131,-0.196486392291488,-0.220481223564359
R-HSA-111471,Apoptotic factor-mediated response,-0.214380731066357,-0.21743909758836,-0.211358426639177,-0.196407394477799,-0.186812532947002,-0.212687575408078,-0.193283630998771
R-HSA-111885,Opioid Signalling,-0.161881736377326,-0.153230416155606,-0.157924978543203,-0.142273568633111,-0.153452486978823,-0.160545646225291,-0.17271217962113
R-HSA-111931,PKA-mediated phosphorylation of CREB,-0.355088356641564,-0.357797415081287,-0.254249235407027,-0.24211924123551,-0.367928352462899,-0.353680785681206,-0.329558139943922
R-HSA-111932,CaMK IV-mediated phosphorylation of CREB,-0.198193343035724,-0.201047053815566,-0.145679932758121,-0.0950387708461343,-0.173625721050995,-0.196446382194214,-0.214097861600692
R-HSA-111933,Calmodulin induced events,-0.201116138594685,-0.205676772686382,-0.184257002207898,-0.139537844729779,-0.203741810523798,-0.200635780255234,-0.207761014432822
R-HSA-111957,Cam-PDE 1 activation,-0.269969675647198,-0.307658142537886,0.425531302043388,0.435614311148856,-0.27927945363089,-0.267924888526261,-0.289309217879315
R-HSA-111995,phospho-PLA2 pathway,-0.273490755138698,-0.276803202926793,-0.299694842461686,-0.285734757361838,-0.211324107606192,-0.271865608081132,-0.295821801301764
R-HSA-111996,Ca-dependent events,-0.211221424476961,-0.215625676321067,-0.200890598230584,-0.160394638045271,-0.203514735901312,-0.210546659889297,-0.220441097801008
R-HSA-111997,CaM pathway,-0.201116138594685,-0.205676772686382,-0.184257002207898,-0.139537844729779,-0.203741810523798,-0.200635780255234,-0.207761014432822
R-HSA-112040,G-protein mediated events,-0.192849701656498,-0.197216453740205,-0.185785218196,-0.147131165309221,-0.187226034388442,-0.192097093974527,-0.203432499985912
R-HSA-112043,PLC beta mediated events,-0.199037222978103,-0.203428739523313,-0.191098842737513,-0.151986373554567,-0.192885724525378,-0.198310151125047,-0.20925778570845
R-HSA-112122,ALKBH2 mediated reversal of alkylation damage,0.306222019133054,0.301724260279721,0.275747799499188,0.292698228481391,0.286938478902025,0.308087369567766,0.279478025966801
R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,-0.0831973109551957,-0.0804280842125819,0.300759249681592,-0.0906031718480559,-0.0844184908610904,-0.0820924548579065,0.302351374875626
R-HSA-112303,Electric Transmission Across Gap Junctions,-0.00666726452612815,0.0301145089634553,-0.00209093349402772,0.533598347389035,0.530318231790243,0.0318494141952188,-0.0230428099327717
R-HSA-112307,Transmission across Electrical Synapses ,-0.00666726452612815,0.0301145089634553,-0.00209093349402772,0.533598347389035,0.530318231790243,0.0318494141952188,-0.0230428099327717
R-HSA-112308,Presynaptic depolarization and calcium channel opening,0.189282718111125,0.185137493851105,0.158837156751363,0.175358395020072,0.170146692713512,0.190868920200315,0.162526273230224
R-HSA-112310,Neurotransmitter release cycle,0.00127629296301066,0.00862590635553384,-0.0170427315749745,-0.00117004866897807,0.00497569354883712,0.0138035447318473,-0.023728664341926
R-HSA-112311,Neurotransmitter clearance,0.0433919378409792,0.0945409927962625,0.0729827174574076,0.0305207637958559,0.027409550328026,0.0452717655049233,0.0773904550747155
R-HSA-112313,Neurotransmitter uptake and metabolism In glial cells,0.0681411977705246,0.0635321935648532,0.0296372849989082,0.0504650500110868,0.0451621118223076,0.0704640738376257,0.0350050651571844
