,name,min,max,diff
R-HSA-211994,Sterols are 12-hydroxylated by CYP8B1,-0.6030511,0.604485114,1.207536214
R-HSA-8941413,Events associated with phagocytolytic activity of PMN cells,-0.6634358,0.3234788,0.9869146
R-HSA-1296061,HCN channels,-0.7364378,0.1544217,0.8908595
R-HSA-389542,NADPH regeneration,-0.4222149,0.4402478,0.8624627
R-HSA-5626978,TNFR1-mediated ceramide production,-0.5220796969,0.3343623,0.8564419969
R-HSA-376172,DSCAM interactions,-0.310990508,0.5142128,0.825203308
R-HSA-373756,SDK interactions,-0.7558417,0.0448926651,0.8007343651
R-HSA-111957,Cam-PDE 1 activation,-0.3076581,0.435614311,0.743272411
R-HSA-1296052,Ca2+ activated K+ channels,-0.4648425,0.222132397,0.686974897
R-HSA-427601,Inorganic anion exchange by SLC26 transporters,-0.08873327,0.589138969,0.677872239
R-HSA-389397,Orexin and neuropeptides FF and QRFP bind to their respective receptors,-0.5641833,0.08935423,0.65353753
R-HSA-9757110,Prednisone ADME,-0.1151422,0.484242143,0.599384343
R-HSA-2473224,Antagonism of Activin by Follistatin,0.1761293,0.7595933,0.583464
R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives,-0.441193,0.121809258,0.563002258
R-HSA-112303,Electric Transmission Across Gap Junctions,-0.02304281,0.533598347,0.556641157
R-HSA-112307,Transmission across Electrical Synapses ,-0.02304281,0.533598347,0.556641157
R-HSA-174362,Transport and metabolism of PAPS,0.03139947,0.587328501,0.555929031
R-HSA-193993,Mineralocorticoid biosynthesis,-0.5073235,0.04817928,0.55550278
R-HSA-9014843,Interleukin-33 signaling,0.08750299,0.5511192,0.46361621
R-HSA-194313,VEGF ligand-receptor interactions,-0.2394609,0.2221313,0.4615922
R-HSA-195399,VEGF binds to VEGFR leading to receptor dimerization,-0.2394609,0.2221313,0.4615922
R-HSA-5576894,Phase 1 - inactivation of fast Na+ channels,-0.4641427,-0.012170886,0.451971814
R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives,-0.2846134,0.143505064,0.428118464
R-HSA-163754,Insulin effects increased synthesis of Xylulose-5-Phosphate,-0.08056595,0.3422259,0.42279185
R-HSA-2408557,Selenocysteine synthesis,-0.4399624,-0.01811581,0.42184659
R-HSA-6799990,Metal sequestration by antimicrobial proteins,-0.2720205,0.1497411,0.4217616
R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,-0.4389123,-0.02019973,0.41871257
R-HSA-211979,Eicosanoids,-0.01277052,0.404095915,0.416866435
R-HSA-72764,Eukaryotic Translation Termination,-0.4395357,-0.02666177,0.41287393
R-HSA-156902,Peptide chain elongation,-0.4397316,-0.02734659,0.41238501
R-HSA-9793528,Ciprofloxacin ADME,-0.1684914,0.237230329,0.405721729
R-HSA-430039,mRNA decay by 5' to 3' exoribonuclease,-0.5152742,-0.1141939,0.4010803
R-HSA-156842,Eukaryotic Translation Elongation,-0.4363533,-0.03897465,0.39737865
R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,-0.090603172,0.3023514,0.392954572
R-HSA-72689,Formation of a pool of free 40S subunits,-0.4546115,-0.06367423,0.39093727
R-HSA-844623,The IPAF inflammasome,-0.4685517,-0.08577484,0.38277686
R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),-0.4055896,-0.023561,0.3820286
R-HSA-2161517,Abacavir transmembrane transport,-0.1243012,0.257118878,0.381420078
R-HSA-9948001,CASP4 inflammasome assembly,-0.3390396,0.0381143,0.3771539
R-HSA-428643,Organic anion transport by SLC5/17/25 transporters,-0.09860362,0.2690177,0.36762132
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,-0.4331067,-0.06550546,0.36760124
R-HSA-8964011,HDL clearance,-0.4769797,-0.116434507,0.360545193
R-HSA-2408522,Selenoamino acid metabolism,-0.3949844,-0.03488637,0.36009803
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,-0.4507545,-0.09276197,0.35799253
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),-0.4443151,-0.0894078,0.3549073
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,-0.4585182,-0.1085161,0.3500021
R-HSA-72695,Formation of the ternary complex, and subsequently, the 43S complex,-0.4581545,-0.1114628,0.3466917
R-HSA-3000497,Scavenging by Class H Receptors,-0.3302277,0.01586789,0.34609559
R-HSA-433137,Sodium-coupled sulphate, di- and tri-carboxylate transporters,0.04721791,0.3908663,0.34364839
R-HSA-434316,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,-0.1199036,0.219750425,0.339654025
R-HSA-9758920,Formation of lateral plate mesoderm,-0.07334269,0.2637807,0.33712339
R-HSA-72613,Eukaryotic Translation Initiation,-0.4518083,-0.1169296,0.3348787
R-HSA-72737,Cap-dependent Translation Initiation,-0.4518083,-0.1169296,0.3348787
R-HSA-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,-0.3868018,-0.05478825,0.33201355
R-HSA-6790901,rRNA modification in the nucleus and cytosol,-0.3795725,-0.04933,0.3302425
R-HSA-72702,Ribosomal scanning and start codon recognition,-0.4443283,-0.1191167,0.3252116
R-HSA-170660,Adenylate cyclase activating pathway,0.2793829,0.603313135,0.323930235
R-HSA-9708296,tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis,-0.324135657,-0.000771381,0.323364276
R-HSA-173623,Classical antibody-mediated complement activation,-0.005076094,0.3132680532,0.3183441472
R-HSA-9927426,Developmental Lineage of Mammary Gland Alveolar Cells,-0.4766496898,-0.1621869,0.3144627898
R-HSA-72649,Translation initiation complex formation,-0.4563057,-0.14224,0.3140657
R-HSA-8939256,RUNX1 regulates transcription of genes involved in WNT signaling,-0.4597813165,-0.1469763,0.3128050165
R-HSA-72662,Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S,-0.4547717,-0.1450547,0.309717
R-HSA-9629569,Protein hydroxylation,-0.3981771,-0.08885884,0.30931826
R-HSA-209822,Glycoprotein hormones,-0.4458252,-0.1404527,0.3053725
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,-0.4169376549,-0.1150027,0.3019349549
R-HSA-8931987,RUNX1 regulates estrogen receptor mediated transcription,-0.4439535454,-0.1420341,0.3019194454
R-HSA-426117,Cation-coupled Chloride cotransporters,-0.5788239,-0.282037691,0.296786209
R-HSA-426486,Small interfering RNA (siRNA) biogenesis,-0.3885581,-0.09900179,0.28955631
R-HSA-5661231,Metallothioneins bind metals,-0.3600952,-0.070648791,0.289446409
R-HSA-1236977,Endosomal/Vacuolar pathway,-0.4296389,-0.14170236,0.28793654
R-HSA-390666,Serotonin receptors,-0.2109852,0.072017453,0.283002653
R-HSA-9684482,IFIT antiviral response,-0.3674397,-0.08704778,0.28039192
R-HSA-9960519,CASP4-mediated substrate cleavage,-0.4131751,-0.1341283,0.2790468
R-HSA-9960525,CASP5-mediated substrate cleavage,-0.4131751,-0.1341283,0.2790468
R-HSA-166208,mTORC1-mediated signalling,-0.4200015,-0.1417389,0.2782626
R-HSA-9033807,ABO blood group biosynthesis,-0.5277975,-0.2495416,0.2782559
R-HSA-70221,Glycogen breakdown (glycogenolysis),-0.3004126,-0.023393566,0.277019034
R-HSA-173736,Alternative complement activation,0.1621501,0.437518082,0.275367982
R-HSA-9619483,Activation of AMPK downstream of NMDARs,-0.515497215,-0.2428786,0.272618615
R-HSA-9007892,Interleukin-38 signaling,-0.3998843,-0.127328438,0.272555862
