"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score","type","miRNA"
"mirdb","MIMAT0005886","hsa-miR-1297","PTEN","5728","ENSG00000171862","99.7643683917106","predicted","hsa-miR-1297_PTEN"
"mirdb","MIMAT0021045","hsa-miR-5011-5p","PTEN","5728","ENSG00000171862","99.7622740625106","predicted","hsa-miR-5011-5p_PTEN"
"mirdb","MIMAT0000083","hsa-miR-26b-5p","PTEN","5728","ENSG00000171862","99.4595138333992","predicted","hsa-miR-26b-5p_PTEN"
"mirdb","MIMAT0000082","hsa-miR-26a-5p","PTEN","5728","ENSG00000171862","99.3777568804621","predicted","hsa-miR-26a-5p_PTEN"
"mirdb","MIMAT0031014","hsa-miR-8087","OSBPL1A","114876","ENSG00000141447","99.04613775088","predicted","hsa-miR-8087_OSBPL1A"
"mirdb","MIMAT0018992","hsa-miR-4465","PTEN","5728","ENSG00000171862","99.0101489679913","predicted","hsa-miR-4465_PTEN"
"mirdb","MIMAT0022497","hsa-miR-5692b","PTEN","5728","ENSG00000171862","98.9882792785182","predicted","hsa-miR-5692b_PTEN"
"mirdb","MIMAT0022476","hsa-miR-5692c","PTEN","5728","ENSG00000171862","98.9882792785182","predicted","hsa-miR-5692c_PTEN"
"mirdb","MIMAT0000078","hsa-miR-23a-3p","PTEN","5728","ENSG00000171862","98.9661240483981","predicted","hsa-miR-23a-3p_PTEN"
"mirdb","MIMAT0000418","hsa-miR-23b-3p","PTEN","5728","ENSG00000171862","98.9661240483981","predicted","hsa-miR-23b-3p_PTEN"
"mirdb","MIMAT0018000","hsa-miR-23c","PTEN","5728","ENSG00000171862","98.9661240483981","predicted","hsa-miR-23c_PTEN"
"mirdb","MIMAT0026474","hsa-miR-208a-5p","DEGS1","8560","ENSG00000143753","98.7171443095012","predicted","hsa-miR-208a-5p_DEGS1"
"mirdb","MIMAT0026722","hsa-miR-208b-5p","DEGS1","8560","ENSG00000143753","98.7171443095012","predicted","hsa-miR-208b-5p_DEGS1"
"mirdb","MIMAT0016912","hsa-miR-4282","CYP1B1","1545","ENSG00000138061","98.1902952129915","predicted","hsa-miR-4282_CYP1B1"
"mirdb","MIMAT0019931","hsa-miR-4775","PTEN","5728","ENSG00000171862","98.0269729953978","predicted","hsa-miR-4775_PTEN"
"mirdb","MIMAT0018948","hsa-miR-4432","OSBPL1A","114876","ENSG00000141447","97.7992606913","predicted","hsa-miR-4432_OSBPL1A"
"mirdb","MIMAT0022724","hsa-miR-1277-5p","PTEN","5728","ENSG00000171862","97.4588131065508","predicted","hsa-miR-1277-5p_PTEN"
"mirdb","MIMAT0002816","hsa-miR-494-3p","PTEN","5728","ENSG00000171862","97.3573573975684","predicted","hsa-miR-494-3p_PTEN"
"mirdb","MIMAT0026482","hsa-miR-190a-3p","PTEN","5728","ENSG00000171862","97.2041599120926","predicted","hsa-miR-190a-3p_PTEN"
"mirdb","MIMAT0004777","hsa-miR-513a-3p","PTEN","5728","ENSG00000171862","97.1896491326515","predicted","hsa-miR-513a-3p_PTEN"
"mirdb","MIMAT0022728","hsa-miR-513c-3p","PTEN","5728","ENSG00000171862","97.1896491326515","predicted","hsa-miR-513c-3p_PTEN"
"mirdb","MIMAT0000100","hsa-miR-29b-3p","PTEN","5728","ENSG00000171862","97.0038439987","predicted","hsa-miR-29b-3p_PTEN"
"mirdb","MIMAT0000086","hsa-miR-29a-3p","PTEN","5728","ENSG00000171862","97.0038439987","predicted","hsa-miR-29a-3p_PTEN"
"mirdb","MIMAT0000681","hsa-miR-29c-3p","PTEN","5728","ENSG00000171862","97.0038439987","predicted","hsa-miR-29c-3p_PTEN"
"mirdb","MIMAT0002177","hsa-miR-486-5p","PTEN","5728","ENSG00000171862","96.795727994","predicted","hsa-miR-486-5p_PTEN"
"mirdb","MIMAT0002870","hsa-miR-499a-5p","OSBPL1A","114876","ENSG00000141447","96.58111001752","predicted","hsa-miR-499a-5p_OSBPL1A"
"mirdb","MIMAT0033692","hsa-miR-8485","PTEN","5728","ENSG00000171862","96.3841108229139","predicted","hsa-miR-8485_PTEN"
"mirdb","MIMAT0019231","hsa-miR-3944-5p","PTEN","5728","ENSG00000171862","96.20574613","predicted","hsa-miR-3944-5p_PTEN"
"mirdb","MIMAT0000090","hsa-miR-32-5p","PTEN","5728","ENSG00000171862","96.1905545602","predicted","hsa-miR-32-5p_PTEN"
"mirdb","MIMAT0003218","hsa-miR-92b-3p","PTEN","5728","ENSG00000171862","96.1905545602","predicted","hsa-miR-92b-3p_PTEN"
"mirdb","MIMAT0000092","hsa-miR-92a-3p","PTEN","5728","ENSG00000171862","96.1905545602","predicted","hsa-miR-92a-3p_PTEN"
"mirdb","MIMAT0003284","hsa-miR-616-5p","PTEN","5728","ENSG00000171862","96.1862133220054","predicted","hsa-miR-616-5p_PTEN"
"mirdb","MIMAT0000725","hsa-miR-373-5p","PTEN","5728","ENSG00000171862","96.1862133220054","predicted","hsa-miR-373-5p_PTEN"
"mirdb","MIMAT0019892","hsa-miR-371b-5p","PTEN","5728","ENSG00000171862","96.1862133220054","predicted","hsa-miR-371b-5p_PTEN"
"mirdb","MIMAT0000088","hsa-miR-30a-3p","PTEN","5728","ENSG00000171862","95.8803370354096","predicted","hsa-miR-30a-3p_PTEN"
"mirdb","MIMAT0000693","hsa-miR-30e-3p","PTEN","5728","ENSG00000171862","95.8803370354096","predicted","hsa-miR-30e-3p_PTEN"
"mirdb","MIMAT0004551","hsa-miR-30d-3p","PTEN","5728","ENSG00000171862","95.8803370354096","predicted","hsa-miR-30d-3p_PTEN"
"mirdb","MIMAT0022965","hsa-miR-3606-3p","PTEN","5728","ENSG00000171862","95.6272526234672","predicted","hsa-miR-3606-3p_PTEN"
"mirdb","MIMAT0019066","hsa-miR-4527","HSDL2","84263","ENSG00000119471","95.51224","predicted","hsa-miR-4527_HSDL2"
