"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","score","type","miRNA"
"diana_microt","MIMAT0000419","hsa-miR-27b-3p","CYP1B1","1545","ENSG00000138061","1","predicted","hsa-miR-27b-3p_CYP1B1"
"diana_microt","MIMAT0005886","hsa-miR-1297","PTEN","5728","ENSG00000171862","0.999","predicted","hsa-miR-1297_PTEN"
"diana_microt","MIMAT0005917","hsa-miR-548m","PTEN","5728","ENSG00000171862","0.999","predicted","hsa-miR-548m_PTEN"
"diana_microt","MIMAT0015021","hsa-miR-3148","PTEN","5728","ENSG00000171862","0.999","predicted","hsa-miR-3148_PTEN"
"diana_microt","MIMAT0000082","hsa-miR-26a-5p","PTEN","5728","ENSG00000171862","0.999","predicted","hsa-miR-26a-5p_PTEN"
"diana_microt","MIMAT0000083","hsa-miR-26b-5p","PTEN","5728","ENSG00000171862","0.999","predicted","hsa-miR-26b-5p_PTEN"
"diana_microt","MIMAT0019835","hsa-miR-4721","OSBPL1A","114876","ENSG00000141447","0.999","predicted","hsa-miR-4721_OSBPL1A"
"diana_microt","MIMAT0019931","hsa-miR-4775","PTEN","5728","ENSG00000171862","0.998","predicted","hsa-miR-4775_PTEN"
"diana_microt","MIMAT0022266","hsa-miR-548ar-3p","PTEN","5728","ENSG00000171862","0.998","predicted","hsa-miR-548ar-3p_PTEN"
"diana_microt","MIMAT0002814","hsa-miR-432-5p","HSDL2","84263","ENSG00000119471","0.998","predicted","hsa-miR-432-5p_HSDL2"
"diana_microt","MIMAT0004703","hsa-miR-335-3p","PTEN","5728","ENSG00000171862","0.997","predicted","hsa-miR-335-3p_PTEN"
"diana_microt","MIMAT0003251","hsa-miR-548a-3p","PTEN","5728","ENSG00000171862","0.996","predicted","hsa-miR-548a-3p_PTEN"
"diana_microt","MIMAT0003271","hsa-miR-603","PTEN","5728","ENSG00000171862","0.995","predicted","hsa-miR-603_PTEN"
"diana_microt","MIMAT0004797","hsa-miR-582-3p","PTEN","5728","ENSG00000171862","0.995","predicted","hsa-miR-582-3p_PTEN"
"diana_microt","MIMAT0003285","hsa-miR-548c-3p","PTEN","5728","ENSG00000171862","0.995","predicted","hsa-miR-548c-3p_PTEN"
"diana_microt","MIMAT0004801","hsa-miR-590-3p","PTEN","5728","ENSG00000171862","0.994","predicted","hsa-miR-590-3p_PTEN"
"diana_microt","MIMAT0019854","hsa-miR-4731-3p","PTEN","5728","ENSG00000171862","0.993","predicted","hsa-miR-4731-3p_PTEN"
"diana_microt","MIMAT0019889","hsa-miR-4752","PTEN","5728","ENSG00000171862","0.993","predicted","hsa-miR-4752_PTEN"
"diana_microt","MIMAT0004762","hsa-miR-486-3p","OSBPL1A","114876","ENSG00000141447","0.992","predicted","hsa-miR-486-3p_OSBPL1A"
"diana_microt","MIMAT0002177","hsa-miR-486-5p","PTEN","5728","ENSG00000171862","0.991","predicted","hsa-miR-486-5p_PTEN"
"diana_microt","MIMAT0004977","hsa-miR-934","CYP1B1","1545","ENSG00000138061","0.991","predicted","hsa-miR-934_CYP1B1"
"diana_microt","MIMAT0000435","hsa-miR-143-3p","DEGS1","8560","ENSG00000143753","0.991","predicted","hsa-miR-143-3p_DEGS1"
"diana_microt","MIMAT0000090","hsa-miR-32-5p","PTEN","5728","ENSG00000171862","0.99","predicted","hsa-miR-32-5p_PTEN"
"diana_microt","MIMAT0005893","hsa-miR-1305","PTEN","5728","ENSG00000171862","0.989","predicted","hsa-miR-1305_PTEN"
"diana_microt","MIMAT0015037","hsa-miR-3163","PTEN","5728","ENSG00000171862","0.989","predicted","hsa-miR-3163_PTEN"
"diana_microt","MIMAT0000100","hsa-miR-29b-3p","PTEN","5728","ENSG00000171862","0.989","predicted","hsa-miR-29b-3p_PTEN"
"diana_microt","MIMAT0015378","hsa-miR-3065-3p","PTEN","5728","ENSG00000171862","0.988","predicted","hsa-miR-3065-3p_PTEN"
"diana_microt","MIMAT0019865","hsa-miR-3064-3p","PTEN","5728","ENSG00000171862","0.988","predicted","hsa-miR-3064-3p_PTEN"
"diana_microt","MIMAT0022304","hsa-miR-548av-3p","PTEN","5728","ENSG00000171862","0.987","predicted","hsa-miR-548av-3p_PTEN"
"diana_microt","MIMAT0005874","hsa-miR-548e-3p","PTEN","5728","ENSG00000171862","0.986","predicted","hsa-miR-548e-3p_PTEN"
"diana_microt","MIMAT0019731","hsa-miR-4662a-5p","PTEN","5728","ENSG00000171862","0.986","predicted","hsa-miR-4662a-5p_PTEN"
"diana_microt","MIMAT0004561","hsa-miR-187-5p","CYP1B1","1545","ENSG00000138061","0.986","predicted","hsa-miR-187-5p_CYP1B1"
"diana_microt","MIMAT0019906","hsa-miR-4760-5p","OSBPL1A","114876","ENSG00000141447","0.986","predicted","hsa-miR-4760-5p_OSBPL1A"
"diana_microt","MIMAT0000681","hsa-miR-29c-3p","PTEN","5728","ENSG00000171862","0.985","predicted","hsa-miR-29c-3p_PTEN"
"diana_microt","MIMAT0004555","hsa-miR-10a-3p","PTEN","5728","ENSG00000171862","0.985","predicted","hsa-miR-10a-3p_PTEN"
"diana_microt","MIMAT0003244","hsa-miR-579-3p","PTEN","5728","ENSG00000171862","0.985","predicted","hsa-miR-579-3p_PTEN"
"diana_microt","MIMAT0022484","hsa-miR-5692a","PTEN","5728","ENSG00000171862","0.983","predicted","hsa-miR-5692a_PTEN"
"diana_microt","MIMAT0000086","hsa-miR-29a-3p","PTEN","5728","ENSG00000171862","0.983","predicted","hsa-miR-29a-3p_PTEN"
"diana_microt","MIMAT0005895","hsa-miR-548f-3p","PTEN","5728","ENSG00000171862","0.982","predicted","hsa-miR-548f-3p_PTEN"
"diana_microt","MIMAT0020601","hsa-miR-1273f","PTEN","5728","ENSG00000171862","0.982","predicted","hsa-miR-1273f_PTEN"
"diana_microt","MIMAT0022724","hsa-miR-1277-5p","PTEN","5728","ENSG00000171862","0.982","predicted","hsa-miR-1277-5p_PTEN"
"diana_microt","MIMAT0004692","hsa-miR-340-5p","PTEN","5728","ENSG00000171862","0.982","predicted","hsa-miR-340-5p_PTEN"
"diana_microt","MIMAT0018972","hsa-miR-548ah-5p","CYP1B1","1545","ENSG00000138061","0.982","predicted","hsa-miR-548ah-5p_CYP1B1"
"diana_microt","MIMAT0002824","hsa-miR-498-5p","PTEN","5728","ENSG00000171862","0.981","predicted","hsa-miR-498-5p_PTEN"
"diana_microt","MIMAT0002816","hsa-miR-494-3p","PTEN","5728","ENSG00000171862","0.981","predicted","hsa-miR-494-3p_PTEN"
"diana_microt","MIMAT0022272","hsa-miR-664b-3p","PTEN","5728","ENSG00000171862","0.98","predicted","hsa-miR-664b-3p_PTEN"
"diana_microt","MIMAT0019066","hsa-miR-4527","HSDL2","84263","ENSG00000119471","0.98","predicted","hsa-miR-4527_HSDL2"
"diana_microt","MIMAT0020958","hsa-miR-4482-3p","PTEN","5728","ENSG00000171862","0.979","predicted","hsa-miR-4482-3p_PTEN"
"diana_microt","MIMAT0004987","hsa-miR-944","PTEN","5728","ENSG00000171862","0.977","predicted","hsa-miR-944_PTEN"
